city_id,city_name,state,region,country,operational_zone,city_tier
C001,City1,Tamil Nadu,South,India,Zone D,Tier 3
C002,City2,Delhi,North,India,Zone B,tier 1
C003,City3,Maharashtra,West,India,Zone D,Tier 3
C004,City4,Karnataka,South,India,Zone D,Tier 2
C005,City5,Karnataka,South,India,Zone B,Tier 1
C006,City6,Telangana,South,India,Zone C,Tier 1
C007,City7,Delhi,North,India,Zone B,Tier-1
C008,City8,Telangana,South,India,Zone A,Tier-1
C009,City9,Karnataka,South,India,Zone D,Tier 1
C010,City10,Telangana,South,India,Zone A,Tier 2
C011,City11,Maharashtra,West,India,Zone D,tier 1
C012,City12,Karnataka,South,India,Zone D,Tier 2
C013,City13,Tamil Nadu,South,India,Zone B,Tier-1
C014,City14,Tamil Nadu,South,India,Zone A,tier 1
C015,City15,Karnataka,South,India,Zone D,Tier 1
C016,City16,Delhi,North,India,Zone C,Tier 3
C017,City17,Telangana,South,India,Zone D,tier 1
C018,City18,Telangana,South,India,Zone C,Tier 3
C019,City19,Telangana,South,India,Zone C,Tier 1
C020,City20,Tamil Nadu,South,India,Zone A,Tier 2
C021,City21,Maharashtra,West,India,Zone C,Tier 1
C022,City22,Maharashtra,West,India,Zone B,tier 1
C023,City23,Tamil Nadu,South,India,Zone C,Tier-1
C024,City24,Maharashtra,West,India,Zone C,Tier 2
C025,City25,Karnataka,South,India,Zone C,Tier 2
C026,City26,Tamil Nadu,South,India,Zone C,Tier 3
C027,City27,Maharashtra,West,India,Zone C,Tier 2
C028,City28,Telangana,South,India,Zone B,Tier 2
C029,City29,Delhi,North,India,Zone A,tier 1
C030,CITY30,Maharashtra,West,India,Zone C,Tier-1
C031,City31,Telangana,South,India,Zone A,Tier 1
C032,City32,Maharashtra,West,India,Zone B,Tier-1
C033,City33,Maharashtra,West,India,Zone C,tier 1
C034,City34,Delhi,North,India,Zone D,Tier 2
C035,City35,Karnataka,South,India,Zone D,Tier 2
C036,City36,Maharashtra,West,India,Zone C,Tier 1
C037,City37,Karnataka,South,India,Zone D,Tier-1
C038,City38,Delhi,North,India,Zone C,Tier-1
C039,City39,Delhi,North,India,Zone A,Tier 1
C040,City40,Maharashtra,West,India,,Tier-1
C041,City41,Telangana,South,India,Zone D,Tier 3
C042,City42,Karnataka,South,India,Zone A,Tier 2
C043,City43,Tamil Nadu,South,India,Zone C,Tier-1
C044,City44,Maharashtra,West,India,Zone B,Tier 1
C045, City45,Karnataka,South,India,Zone D,Tier 2
C046,City46,Karnataka,South,India,Zone C,Tier 2
C047,City47,Telangana,South,India,Zone D,Tier 3
C048,City48,Karnataka,South,India,Zone C,Tier 3
C049,City49,Telangana,South,India,Zone B,tier 1
C050,City50,Karnataka,South,India,Zone A,Tier 3
C051,City51,Karnataka,South,India,Zone D,Tier 3
C052,City52,Tamil Nadu,South,India,Zone A,Tier 3
C053,City53,Delhi,North,India,Zone B,tier 1
C054,City54,Maharashtra,West,India,Zone C,Tier 1
C055,City55,Tamil Nadu,South,India,Zone D,Tier 3
C056,City56,Telangana,South,India,Zone D,Tier 3
C057,City57,Tamil Nadu,South,India,Zone B,Tier 1
C058,City58,Maharashtra,West,India,Zone B,Tier 2
C059,City59,Karnataka,South,India,Zone D,Tier 1
C060,CITY60,Karnataka,South,India,Zone A,Tier-1
C061,City61,Delhi,North,India,Zone C,Tier 3
C062,City62,Delhi,North,India,Zone C,Tier 2
C063,City63,Karnataka,South,India,Zone B,Tier 1
C064,City64,Delhi,North,India,Zone D,Tier 3
C065,City65,Maharashtra,West,India,Zone A,Tier 3
C066,City66,Karnataka,South,India,Zone C,Tier 2
C067,City67,Tamil Nadu,South,India,Zone B,Tier 3
C068,City68,Maharashtra,West,India,Zone A,tier 1
C069,City69,Maharashtra,West,India,Zone C,Tier 1
C070,City70,Karnataka,South,India,Zone A,Tier 3
C071,City71,Tamil Nadu,South,India,Zone B,Tier 3
C072,City72,Telangana,South,India,Zone A,Tier 2
C073,City73,Delhi,North,India,Zone B,tier 1
C074,City74,Maharashtra,West,India,Zone B,Tier-1
C075,City75,Delhi,North,India,Zone D,tier 1
C076,City76,Karnataka,South,India,Zone A,Tier 1
C077,City77,Maharashtra,West,India,Zone C,Tier 1
C078,City78,Karnataka,South,India,Zone C,Tier 1
C079,City79,Delhi,North,India,Zone A,Tier 3
C080,City80,Tamil Nadu,South,India,,Tier 1
C081,City81,Karnataka,South,India,Zone D,Tier 3
C082,City82,Tamil Nadu,South,India,Zone A,tier 1
C083,City83,Tamil Nadu,South,India,Zone A,Tier-1
C084,City84,Telangana,South,India,Zone B,tier 1
C085,City85,Telangana,South,India,Zone B,tier 1
C086,City86,Maharashtra,West,India,Zone C,Tier 1
C087,City87,Maharashtra,West,India,Zone A,Tier-1
C088,City88,Telangana,South,India,Zone C,Tier 1
C089,City89,Delhi,North,India,Zone D,tier 1
C090, CITY90,Tamil Nadu,South,India,Zone C,Tier 3
C091,City91,Delhi,North,India,Zone D,Tier 1
C092,City92,Telangana,South,India,Zone B,tier 1
C093,City93,Maharashtra,West,India,Zone B,Tier 2
C094,City94,Tamil Nadu,South,India,Zone D,Tier 2
C095,City95,Tamil Nadu,South,India,Zone B,Tier 1
C096,City96,Maharashtra,West,India,Zone B,Tier 2
C097,City97,Delhi,North,India,Zone C,Tier 1
C098,City98,Tamil Nadu,South,India,Zone C,tier 1
C099,City99,Maharashtra,West,India,Zone D,Tier-1
C100,City100,Karnataka,South,India,Zone C,Tier-1
C101,City101,Telangana,South,India,Zone C,Tier 3
C102,City102,Telangana,South,India,Zone D,tier 1
C103,City103,Karnataka,South,India,Zone D,Tier 2
C104,City104,Karnataka,South,India,Zone D,Tier 3
C105,City105,Telangana,South,India,Zone B,Tier 3
C106,City106,Tamil Nadu,South,India,Zone B,tier 1
C107,City107,Delhi,North,India,Zone B,Tier 1
C108,City108,Tamil Nadu,South,India,Zone C,tier 1
C109,City109,Karnataka,South,India,Zone B,Tier 1
C110,City110,Maharashtra,West,India,Zone D,tier 1
C111,City111,Karnataka,South,India,Zone B,Tier-1
C112,City112,Tamil Nadu,South,India,Zone D,tier 1
C113,City113,Tamil Nadu,South,India,Zone A,Tier 2
C114,City114,Telangana,South,India,Zone C,Tier-1
C115,City115,Telangana,South,India,Zone C,tier 1
C116,City116,Karnataka,South,India,Zone D,Tier 3
C117,City117,Telangana,South,India,Zone D,Tier 3
C118,City118,Maharashtra,West,India,Zone C,Tier-1
C119,City119,Maharashtra,West,India,Zone A,Tier 3
C120,CITY120,Tamil Nadu,South,India,,Tier 1
C121,City121,Telangana,South,India,Zone D,Tier-1
C122,City122,Delhi,North,India,Zone C,Tier 3
C123,City123,Delhi,North,India,Zone C,Tier 3
C124,City124,Karnataka,South,India,Zone A,Tier 1
C125,City125,Telangana,South,India,Zone C,Tier-1
C126,City126,Delhi,North,India,Zone D,Tier-1
C127,City127,Telangana,South,India,Zone A,Tier 2
C128,City128,Karnataka,South,India,Zone A,Tier 2
C129,City129,Delhi,North,India,Zone C,Tier-1
C130,City130,Tamil Nadu,South,India,Zone A,Tier 2
C131,City131,Telangana,South,India,Zone D,Tier 1
C132,City132,Telangana,South,India,Zone D,Tier 1
C133,City133,Karnataka,South,India,Zone A,Tier 2
C134,City134,Maharashtra,West,India,Zone A,Tier 3
C135, City135,Maharashtra,West,India,Zone D,Tier 2
C136,City136,Delhi,North,India,Zone A,Tier-1
C137,City137,Delhi,North,India,Zone B,Tier 3
C138,City138,Maharashtra,West,India,Zone C,Tier 3
C139,City139,Delhi,North,India,Zone C,Tier-1
C140,City140,Karnataka,South,India,Zone B,Tier 1
C141,City141,Telangana,South,India,Zone C,Tier 3
C142,City142,Telangana,South,India,Zone D,Tier-1
C143,City143,Delhi,North,India,Zone B,tier 1
C144,City144,Tamil Nadu,South,India,Zone A,Tier-1
C145,City145,Maharashtra,West,India,Zone C,tier 1
C146,City146,Delhi,North,India,Zone C,Tier-1
C147,City147,Karnataka,South,India,Zone A,tier 1
C148,City148,Telangana,South,India,Zone D,Tier 2
C149,City149,Tamil Nadu,South,India,Zone C,Tier 2
C150,CITY150,Karnataka,South,India,Zone A,Tier-1
C151,City151,Karnataka,South,India,Zone C,Tier 1
C152,City152,Telangana,South,India,Zone D,Tier 2
C153,City153,Telangana,South,India,Zone D,Tier 3
C154,City154,Tamil Nadu,South,India,Zone C,tier 1
C155,City155,Karnataka,South,India,Zone B,Tier 1
C156,City156,Telangana,South,India,Zone D,Tier 2
C157,City157,Tamil Nadu,South,India,Zone B,Tier 3
C158,City158,Delhi,North,India,Zone B,tier 1
C159,City159,Delhi,North,India,Zone B,Tier 1
C160,City160,Delhi,North,India,,Tier 2
C161,City161,Tamil Nadu,South,India,Zone A,Tier 1
C162,City162,Telangana,South,India,Zone A,Tier 2
C163,City163,Karnataka,South,India,Zone B,Tier 2
C164,City164,Delhi,North,India,Zone D,tier 1
C165,City165,Karnataka,South,India,Zone D,Tier 1
C166,City166,Delhi,North,India,Zone B,Tier 3
C167,City167,Maharashtra,West,India,Zone C,tier 1
C168,City168,Karnataka,South,India,Zone C,Tier 1
C169,City169,Tamil Nadu,South,India,Zone D,Tier 2
C170,City170,Karnataka,South,India,Zone A,Tier 2
C171,City171,Maharashtra,West,India,Zone A,tier 1
C172,City172,Karnataka,South,India,Zone D,Tier 3
C173,City173,Maharashtra,West,India,Zone D,Tier-1
C174,City174,Tamil Nadu,South,India,Zone D,tier 1
C175,City175,Tamil Nadu,South,India,Zone B,tier 1
C176,City176,Maharashtra,West,India,Zone B,Tier 3
C177,City177,Karnataka,South,India,Zone D,tier 1
C178,City178,Telangana,South,India,Zone B,Tier-1
C179,City179,Delhi,North,India,Zone B,Tier 1
C180, CITY180,Delhi,North,India,Zone D,Tier 3
C181,City181,Telangana,South,India,Zone C,Tier-1
C182,City182,Maharashtra,West,India,Zone D,Tier 2
C183,City183,Tamil Nadu,South,India,Zone C,Tier 2
C184,City184,Maharashtra,West,India,Zone A,tier 1
C185,City185,Telangana,South,India,Zone B,Tier 2
