review_id,customer_id,project_id,review_date,rating,feedback,review_status,would_recommend
1,CUS000541,PROJ02765,25-02-2024,2,Professional team.,Pending,Maybe
2,CUS002118,PROJ03567,13-04-2025,2,Excellent workmanship.,Pending,No
3,CUS001179,PROJ02585,08-10-2025,5,Excellent workmanship.,Pending,No
4,CUS004225,PROJ02176,02-08-2024,2,Good value.,Published,YES
5,CUS002162,PROJ00028,21-09-2025,4,Good value.,Pending,NO
6,CUS002100,PROJ02192,05-01-2024,3,Excellent workmanship.,PUBLISHED,Maybe
7,CUS003490,PROJ03407,14-07-2024,2,Loved the final outcome.,PUBLISHED,No
8,CUS003486,PROJ02736,12-05-2024,5,Professional team.,published,Yes
9,CUS003584,PROJ01082,16-02-2024,4,null,pending,Maybe
10,CUS004910,PROJ00246,20-06-2025,2,Professional team.,Pending,No
11,CUS001099,PROJ02609,11-07-2024,4,Excellent workmanship.,published,YES
12,CUS004750,PROJ04507,14-05-2024,5,Could improve communication.,published,Yes
13,CUS002758,PROJ01553,01-10-2025,4,Good value.,PUBLISHED,Maybe
14,CUS004530,PROJ03449,30-09-2025,1,null,Published,Yes
15,CUS003563,PROJ02836,02-19-2024,4,Good value.,Published,Maybe
16,CUS004481,PROJ04455,15-09-2024,2,null,Published,No
17,CUS001380,PROJ02241,03-06-2025,5,Professional team.,pending,Maybe
18,CUS001908,PROJ00366,20-05-2024,2,Could improve communication.,pending,Yes
19,CUS001547,PROJ01402,16-10-2024,4,Loved the final outcome.,pending,YES
20,CUS004225,PROJ00072,09-26-2024,3,null,Pending,No
21,CUS004714,PROJ03056,13-06-2024,2,null,Pending,No
22,CUS000868,PROJ01333,28-08-2024,null,Excellent workmanship.,Published,Maybe
23,CUS000568,PROJ01651,16-11-2025,2,Could improve communication.,Published,Yes
24,CUS002487,PROJ01942,09-19-2024,3,Professional team.,Pending,Yes
25,CUS002511,PROJ00614,12-04-2024,3,Professional team.,PUBLISHED,NO
26,CUS004301,PROJ00601,28-04-2024,5,Excellent workmanship.,published,YES
27,CUS001515,PROJ00002,02-12-2024,5,Professional team.,Published,No
28,CUS004815,PROJ02863,16-12-2024,4,Good value.,PUBLISHED,NO
29,CUS004901,PROJ02705,04-05-2025,2,Excellent workmanship.,published,Yes
30,CUS003869,PROJ02193,12-06-2024,5,Good value.,pending,NO
31,CUS002267,PROJ03915,07-04-2024,3,Could improve communication.,Published,YES
32,CUS001234,PROJ03280,09-05-2025,4,Good value.,Published,Yes
33,CUS004886,PROJ04844,09-24-2024,5,null,pending,Maybe
34,CUS004040,PROJ03697,08-17-2024,5,Could improve communication.,pending,Yes
35,CUS000675,PROJ03809,03-19-2025,4,Professional team.,Pending,YES
36,CUS003064,PROJ04495,07-25-2025,null,null,published,Maybe
37,CUS002972,PROJ04427,25-04-2025,3,Good value.,PUBLISHED,YES
38,CUS001304,PROJ00988,04-12-2024,null,Loved the final outcome.,pending,NO
39,CUS002086,PROJ00301,16-02-2025,null,Good value.,pending,NO
40,CUS000076,PROJ04089,31-03-2024,3,Good value.,Published,Yes
41,CUS002666,PROJ03861,17-02-2025,null,Could improve communication.,Published,Yes
42,CUS004068,PROJ01502,09-10-2025,5,Could improve communication.,published,NO
43,CUS003388,PROJ04852,15-12-2024,2,Good value.,PUBLISHED,Maybe
44,CUS004898,PROJ03188,09-26-2025,3,null,Pending,Yes
45,CUS003292,PROJ04989,04-09-2024,3,Professional team.,PUBLISHED,Maybe
46,CUS000237,PROJ02673,18-06-2025,5,Loved the final outcome.,Pending,YES
47,CUS001375,PROJ03011,23-02-2025,2,Loved the final outcome.,Published,NO
48,CUS002166,PROJ00449,08-08-2024,2,null,PUBLISHED,Yes
49,CUS000850,PROJ02781,28-02-2025,5,Excellent workmanship.,Pending,NO
50,CUS003559,PROJ03432,11-05-2025,2,Good value.,Published,Maybe
51,CUS004035,PROJ03937,02-19-2024,5,Good value.,pending,YES
52,CUS001068,PROJ03660,15-08-2025,2,Excellent workmanship.,Pending,Maybe
53,CUS004876,PROJ02939,12-09-2025,4,Good value.,pending,YES
54,CUS003882,PROJ00034,07-10-2024,3,Good value.,published,YES
55,CUS002200,PROJ02467,02-26-2025,5,Professional team.,pending,No
56,CUS004450,PROJ03297,07-20-2025,2,Could improve communication.,PUBLISHED,No
57,CUS001949,PROJ02904,19-11-2025,2,Could improve communication.,pending,No
58,CUS002082,PROJ02689,28-04-2024,5,Could improve communication.,Pending,Maybe
59,CUS002794,PROJ03495,19-10-2024,5,Excellent workmanship.,Published,NO
60,CUS004994,PROJ02838,28-05-2024,2,Professional team.,published,No
61,CUS001652,PROJ01762,30-11-2025,1,null,PUBLISHED,YES
62,CUS002910,PROJ03350,08-07-2025,4,Excellent workmanship.,pending,Maybe
63,CUS003571,PROJ00603,08-17-2024,4,Loved the final outcome.,pending,No
64,CUS000583,PROJ00184,11-11-2025,4,Good value.,PUBLISHED,Maybe
65,CUS000955,PROJ04026,25-02-2024,2,Could improve communication.,Pending,YES
66,CUS001406,PROJ02908,10-10-2025,3,Could improve communication.,pending,Maybe
67,CUS001321,PROJ03716,07-20-2024,3,Good value.,published,Yes
68,CUS000724,PROJ03628,10-07-2024,3,Good value.,Published,NO
69,CUS001086,PROJ04069,10-12-2024,2,Could improve communication.,PUBLISHED,Yes
70,CUS002824,PROJ04600,04-12-2024,2,Excellent workmanship.,published,No
71,CUS004184,PROJ04956,03-09-2025,5,null,PUBLISHED,NO
72,CUS001092,PROJ02334,08-09-2025,3,Could improve communication.,published,YES
73,CUS002460,PROJ00864,17-06-2025,2,Good value.,pending,Maybe
74,CUS003927,PROJ02948,17-02-2025,2,null,PUBLISHED,No
75,CUS002038,PROJ02111,04-01-2025,5,Could improve communication.,Pending,Maybe
76,CUS002380,PROJ04918,26-10-2025,3,Good value.,published,Maybe
77,CUS004351,PROJ04004,28-09-2025,3,Good value.,Published,NO
78,CUS003911,PROJ04228,09-19-2024,2,Could improve communication.,PUBLISHED,Maybe
79,CUS003162,PROJ02817,04-06-2025,3,null,published,No
80,CUS003474,PROJ02614,10-06-2025,2,Could improve communication.,pending,Yes
81,CUS004480,PROJ04799,03-10-2025,2,null,Pending,Yes
82,CUS001251,PROJ01601,07-29-2024,4,null,Published,YES
83,CUS001362,PROJ01949,25-01-2024,5,Excellent workmanship.,Published,Yes
84,CUS000155,PROJ00644,01-07-2024,5,Loved the final outcome.,PUBLISHED,NO
85,CUS003847,PROJ03412,01-02-2025,4,Professional team.,Published,NO
86,CUS002670,PROJ02945,20-11-2025,5,Excellent workmanship.,pending,Yes
87,CUS003569,PROJ01712,15-03-2024,4,Professional team.,PUBLISHED,Maybe
88,CUS002189,PROJ03453,29-03-2024,4,Good value.,Pending,Yes
89,CUS004776,PROJ01662,30-04-2025,2,null,Pending,Maybe
90,CUS003238,PROJ04333,10-29-2024,3,Excellent workmanship.,pending,Maybe
91,CUS000180,PROJ00227,24-05-2024,null,Could improve communication.,pending,NO
92,CUS003064,PROJ04495,07-04-2025,3,Loved the final outcome.,PUBLISHED,YES
93,CUS004545,PROJ04259,02-26-2025,2,Loved the final outcome.,published,YES
94,CUS000456,PROJ04917,23-09-2025,2,null,pending,Yes
95,CUS004962,PROJ02376,16-07-2025,4,Professional team.,Published,No
96,CUS001162,PROJ02529,10-04-2024,4,Professional team.,PUBLISHED,YES
97,CUS000877,PROJ01818,11-18-2025,3,Could improve communication.,Published,YES
98,CUS003462,PROJ00226,21-11-2024,5,null,PUBLISHED,Maybe
