designer_id,employee_id,specialization,experience_years,rating,city_id,status
DES001,EMP0211,Luxury Interiors,9,3.6,C221,Busy
DES002,EMP0169,Office Interiors,5,3.7,C010,Available
DES003,EMP0021,Office Interiors,3,4.9,C220,Busy
DES004,EMP0049,Bedroom,2,4.8,C223,available
DES005,EMP0142,Luxury Interiors,12,4.4,C184,available
DES006,EMP0251,Luxury Interiors,10,4.4,C035,available
DES007,EMP0007,Modular Kitchen,2,3.3,C120,Busy
DES008,EMP0034,Office Interiors,14,4.5,C014,Busy
DES009,EMP0272,Luxury Interiors,1,4.5,C140,Available
DES010,EMP0251,Modular Kitchen,7,4.5,C050,Available
DES011,EMP0095,Modular Kitchen,5,3.1,C057,On Leave
DES012,EMP0045,Bedroom,3,4.9,C029,On Leave
DES013,EMP0118,Modular Kitchen,16,4.1,C161,available
DES014,EMP0295,Luxury Interiors,10,3.3,C071,available
DES015,EMP0048,Office Interiors,4,4,C169,Busy
DES016,EMP0242,Bedroom,16,3.1,C109,On Leave
DES017,EMP0245,Luxury Interiors,18,4.9,C167,On Leave
DES018,EMP0239,Office Interiors,3,3.4,C001,available
DES019,EMP0089,Living Room,8,3.8,C094,Busy
DES020,EMP0167,Modular Kitchen,1,Null,C196,Available
DES021,EMP0087,Bedroom,5,3.5,C190,Available
DES022,EMP0123,Living Room,8,4.2,C136,On Leave
DES023,EMP0013,Bedroom,18,3.1,C239,available
DES024,EMP0205,Modular Kitchen,5,4.4,C233,Available
DES025,EMP0262,Office Interiors,5,4.2,C215,Available
DES026,EMP0267,Luxury Interiors,5,4.7,C121,On Leave
DES027,EMP0159,Bedroom,7,3.4,C034,Busy
DES028,EMP0208,Living Room,18,3.4,C084,available
DES029,EMP0158,Office Interiors,14,3.3,C125,available
DES030,EMP0273,Luxury Interiors,6,3.2,C032,On Leave
DES031,EMP0044,Modular Kitchen,5,4.6,C143,available
DES032,EMP0289,Modular Kitchen,1,3.4,C154,Busy
DES033,EMP0098,Modular Kitchen,3,3.7,C220,Available
DES034,EMP0243,Modular Kitchen,15,3.1,C026,available
DES035,EMP0053,Bedroom,13,3.8,C010,Busy
DES036,EMP0186,Luxury Interiors,16,4.9,C162,On Leave
DES037,EMP0160,Luxury Interiors,6,3.2,C096,Available
DES038,EMP0175,Living Room,11,4.5,C102,Busy
DES039,EMP0002,Bedroom,9,4.9,C133,Busy
DES040,EMP0234,Luxury Interiors,15,Null,C043,Busy
DES041,EMP0244,Office Interiors,18,4.7,C089,Available
DES042,EMP0271,Living Room,18,4.4,C072,Available
DES043,EMP0287,Living Room,6,3.8,C108,Busy
DES044,EMP0187,Luxury Interiors,8,4.8,C035,available
DES045,EMP0110,Office Interiors,13,4.4,C243,On Leave
DES046,EMP0048,Luxury Interiors,15,4,C246,Available
DES047,EMP0018,Bedroom,14,4,C120,Available
DES048,EMP0175,Luxury Interiors,9,3.8,C006,available
DES049,EMP0270,Living Room,18,3.2,C131,Available
DES050,EMP0259,Luxury Interiors,9,3.1,C187,Busy
