expense_id,project_id,expense_category,expense_date,expense_amount,approved_by,expense_status
EXP00001,PROJ00373,Labor,2025-06-11,216840,EMP0177,Pending
EXP00002,PROJ04459,Utilities,2025-08-14,139600,EMP0023,Approved
EXP00003,PROJ01995,Equipment,2024-12-08,171399,EMP0214,Pending
EXP00004,PROJ02328,Labor,2024-10-04,28553,EMP0066,Pending
EXP00005,PROJ01736,Labor,2025-09-13,40164,EMP0030,Rejected
EXP00006,PROJ00440,Labor,2025-03-20,193266,EMP0290,Approved
EXP00007,PROJ03625,Equipment,2024-12-23,121505,EMP0120,Pending
EXP00008,PROJ03777,Labor,2024-08-18,230779,EMP0065,Rejected
EXP00009,PROJ04518,Labor,2025-06-10,252734,EMP0043,approved
EXP00010,PROJ04740,Utilities,2024-10-03,283337,EMP0081,Pending
EXP00011,PROJ02916,Utilities,2024-11-16,68768,EMP0118,Approved
EXP00012,PROJ01812,Labor,2024-12-30,13227,EMP0230,Rejected
EXP00013,PROJ03185,Utilities,2025-01-05,23769,EMP0278,Rejected
EXP00014,PROJ01515,Transport,2025-02-24,68183,EMP0243,approved
EXP00015,PROJ00160,Transport,2025-03-27,222023,EMP0030,approved
EXP00016,PROJ00072,Utilities,2025-04-01,80265,EMP0272,Rejected
EXP00017,PROJ00569,Marketing,2025-05-15,54150,EMP0281,Approved
EXP00018,PROJ00529,Materials,2025-06-18,148363,EMP0175,approved
EXP00019,PROJ03055,Marketing,2025-07-10,120945,EMP0294,Rejected
EXP00020,PROJ02026,Labor,2024-03-06,21410,EMP0190,Rejected
EXP00021,PROJ00140,Marketing,2024-10-07,232843,EMP0205,approved
EXP00022,PROJ04224,Utilities,2025-04-20,149330,EMP0209,Rejected
EXP00023,PROJ03552,Materials,2025-11-16,255267,EMP0112,approved
EXP00024,PROJ00093,Materials,2024-12-14,229186,EMP0263,Approved
EXP00025,PROJ03838,Transport,2024-09-08,82861,EMP0201,approved
EXP00026,PROJ00829,Materials,2024-10-03,39449,EMP0160,Pending
EXP00027,PROJ01958,Transport,2024-12-22,53597,EMP0225,Rejected
