inventory_id,product_id,supplier_id,warehouse,stock_quantity,reorder_level,last_updated,inventory_status
INV00001,PRD00322,SUP0115,Delhi WH,777,21,15-12-2025,available
INV00002,PRD00908,SUP0140,Hyderabad WH,186,123,19-01-2025,Available
INV00003,PRD00685,SUP0488,Bengaluru WH,568,137,06-05-2025,Available
INV00004,PRD00272,SUP0042,Bengaluru WH,566,170,20-09-2025,Low Stock
INV00005,PRD00668,SUP0367,Mumbai WH,105,69,28-03-2025,Available
INV00006,PRD00612,SUP0192,Chennai WH,623,146,02-06-2025,available
INV00007,PRD00420,SUP0105,Delhi WH,918,62,21-05-2025,available
INV00008,PRD00216,SUP0384,Hyderabad WH,354,189,02-12-2025,Low Stock
INV00009,PRD01770,SUP0065,Hyderabad WH,908,133,24-07-2025,Available
INV00010,PRD01214,SUP0048,Bengaluru WH,622,88,22-09-2025,Out of Stock
INV00011,PRD00315,SUP0395,Chennai WH,61,29,21-12-2025,Available
INV00012,PRD01462,SUP0453,Delhi WH,273,176,18-08-2025,Out of Stock
INV00013,PRD01830,SUP0292,Delhi WH,255,128,24-12-2025,Low Stock
INV00014,PRD00347,SUP0306,Chennai WH,441,99,07-11-2025,available
INV00015,PRD01660,SUP0158,Hyderabad WH,221,79,06-02-2025,available
INV00016,PRD01868,SUP0435,Mumbai WH,554,85,13-06-2025,Available
INV00017,PRD00868,SUP0008,Delhi WH,951,147,13-04-2025,Available
INV00018,PRD00756,SUP0354,Bengaluru WH,89,32,11-12-2025,Out of Stock
INV00019,PRD01906,SUP0285,Mumbai WH,198,125,18-04-2025,Low Stock
INV00020,PRD01949,SUP0153,Chennai WH,507,111,02-05-2025,Available
INV00021,PRD00461,SUP0076,Mumbai WH,994,135,21-01-2025,Available
INV00022,PRD01587,SUP0035,Bengaluru WH,987,86,11-12-2025,Available
INV00023,PRD01379,SUP0329,Mumbai WH,676,78,01-11-2025,Low Stock
INV00024,PRD00912,SUP0051,Mumbai WH,613,159,08-12-2025,Available
INV00025,PRD00177,SUP0034,Chennai WH,541,49,24-06-2025,Available
INV00026,PRD01593,SUP0070,Mumbai WH,994,167,23-09-2025,Low Stock
INV00027,PRD00580,SUP0072,Chennai WH,373,187,10-07-2025,Out of Stock
INV00028,PRD00110,SUP0005,Delhi WH,324,83,04-07-2025,Available
INV00029,PRD01505,SUP0497,Chennai WH,417,149,04-05-2025,Available
INV00030,PRD01229,SUP0154,Chennai WH,221,164,19-03-2025,Low Stock
INV00031,PRD01546,SUP0259,Bengaluru WH,62,39,12-10-2025,Available
INV00032,PRD01958,SUP0414,Bengaluru WH,308,177,04-04-2025,Available
INV00033,PRD01385,SUP0179,Mumbai WH,841,143,02-08-2025,available
INV00034,PRD01890,SUP0217,Bengaluru WH,644,32,12-07-2025,Available
INV00035,PRD01718,SUP0308,Chennai WH,339,106,10-12-2025,available
INV00036,PRD01159,SUP0084,Chennai WH,559,156,09-06-2025,available
INV00037,PRD00741,SUP0022,Delhi WH,251,179,22-08-2025,Low Stock
INV00038,PRD01503,SUP0446,Hyderabad WH,332,80,28-08-2025,Low Stock
INV00039,PRD01530,SUP0267,Hyderabad WH,673,123,06-05-2025,available
INV00040,PRD00853,SUP0318,Delhi WH,45,137,19-04-2025,Low Stock
INV00041,PRD00225,SUP0043,Delhi WH,362,160,20-08-2025,available
INV00042,PRD01091,SUP0416,Bengaluru WH,47,124,07-02-2025,Out of Stock
INV00043,PRD00044,SUP0314,Bengaluru WH,441,37,04-09-2025,Available
INV00044,PRD01072,SUP0500,Bengaluru WH,195,58,05-10-2025,Available
INV00045,PRD01945,SUP0401,Hyderabad WH,510,190,25-09-2025,Low Stock
INV00046,PRD00636,SUP0103,Bengaluru WH,745,193,16-07-2025,Low Stock
INV00047,PRD00315,SUP0112,Delhi WH,320,170,28-05-2025,Out of Stock
INV00048,PRD00406,SUP0480,Delhi WH,807,185,13-01-2025,Available
INV00049,PRD01338,SUP0171,Hyderabad WH,427,25,10-02-2025,Low Stock
INV00050,PRD01147,SUP0038,Hyderabad WH,873,173,18-08-2025,Out of Stock
INV00051,PRD00777,SUP0013,Delhi WH,992,85,16-05-2025,Out of Stock
INV00052,PRD00211,SUP0324,Hyderabad WH,876,35,27-02-2025,Out of Stock
INV00053,PRD00733,SUP0486,Mumbai WH,468,82,20-06-2025,Out of Stock
INV00054,PRD00850,SUP0312,Hyderabad WH,870,134,02-12-2025,Low Stock
INV00055,PRD01664,SUP0245,Mumbai WH,722,79,02-07-2025,Low Stock
INV00056,PRD01627,SUP0480,Mumbai WH,764,81,18-02-2025,available
INV00057,PRD01152,SUP0245,Hyderabad WH,599,196,13-10-2025,Out of Stock
INV00058,PRD01307,SUP0479,Chennai WH,749,23,07-01-2025,available
INV00059,PRD01891,SUP0450,Delhi WH,563,116,02-12-2025,Out of Stock
INV00060,PRD00183,SUP0201,Chennai WH,816,107,09-05-2025,Available
INV00061,PRD00877,SUP0346,Hyderabad WH,888,115,26-07-2025,Available
INV00062,PRD00517,SUP0171,Bengaluru WH,678,35,28-11-2025,Available
INV00063,PRD00354,SUP0314,Mumbai WH,120,59,02-10-2025,Available
INV00064,PRD00838,SUP0113,Delhi WH,467,138,05-12-2025,Out of Stock
INV00065,PRD00866,SUP0129,Mumbai WH,522,36,16-05-2025,Low Stock
INV00066,PRD00841,SUP0245,Delhi WH,31,41,24-11-2025,available
INV00067,PRD00673,SUP0446,Chennai WH,694,64,12-04-2025,Out of Stock
INV00068,PRD00984,SUP0175,Mumbai WH,170,190,14-07-2025,Out of Stock
INV00069,PRD01182,SUP0471,Hyderabad WH,272,74,19-05-2025,available
INV00070,PRD01276,SUP0432,Bengaluru WH,662,73,19-07-2025,Out of Stock
INV00071,PRD01626,SUP0487,Hyderabad WH,558,148,20-07-2025,Available
INV00072,PRD01687,SUP0244,Mumbai WH,315,85,24-08-2025,Available
INV00073,PRD01557,SUP0495,Mumbai WH,396,71,04-04-2025,available
INV00074,PRD01769,SUP0166,Mumbai WH,35,146,21-04-2025,Low Stock
INV00075,PRD01962,SUP0021,Bengaluru WH,559,141,07-08-2025,available
INV00076,PRD01539,SUP0384,Bengaluru WH,620,177,28-08-2025,Available
INV00077,PRD00709,SUP0450,Hyderabad WH,116,72,09-03-2025,Available
INV00078,PRD00885,SUP0043,Chennai WH,424,94,28-01-2025,Available
INV00079,PRD00278,SUP0354,Delhi WH,612,192,05-08-2025,Low Stock
INV00080,PRD00167,SUP0454,Chennai WH,496,95,13-11-2025,Available
INV00081,PRD00621,SUP0290,Hyderabad WH,584,75,02-09-2025,Available
INV00082,PRD00817,SUP0423,Hyderabad WH,56,154,03-03-2025,Out of Stock
INV00083,PRD00914,SUP0472,Chennai WH,271,127,10-09-2025,available
INV00084,PRD00041,SUP0079,Hyderabad WH,203,93,13-10-2025,Low Stock
INV00085,PRD01227,SUP0204,Bengaluru WH,125,130,02-11-2025,Available
INV00086,PRD01310,SUP0421,Chennai WH,157,104,22-08-2025,Available
INV00087,PRD01450,SUP0344,Bengaluru WH,210,173,08-10-2025,Available
INV00088,PRD01710,SUP0293,Mumbai WH,669,82,27-10-2025,Available
INV00089,PRD01388,SUP0284,Chennai WH,287,28,18-11-2025,Low Stock
INV00090,PRD00945,SUP0275,Mumbai WH,51,46,12-10-2025,Low Stock
INV00091,PRD00753,SUP0157,Delhi WH,548,142,03-04-2025,available
INV00092,PRD00744,SUP0128,Delhi WH,397,183,06-04-2025,Low Stock
INV00093,PRD01718,SUP0166,Chennai WH,796,38,11-05-2025,Available
INV00094,PRD01341,SUP0137,Delhi WH,132,128,22-08-2025,Available
INV00095,PRD00030,SUP0032,Chennai WH,580,69,28-01-2025,Low Stock
INV00096,PRD00730,SUP0011,Hyderabad WH,742,78,09-11-2025,Low Stock
INV00097,PRD01719,SUP0471,Delhi WH,785,80,27-12-2025,available
INV00098,PRD01741,SUP0199,Chennai WH,254,139,04-09-2025,Out of Stock
INV00099,PRD00692,SUP0409,Chennai WH,97,139,09-04-2025,Out of Stock
INV00100,PRD01215,SUP0074,Chennai WH,915,138,08-03-2025,Out of Stock
INV00101,PRD01287,SUP0118,Bengaluru WH,733,155,04-07-2025,Available
INV00102,PRD00335,SUP0005,Delhi WH,257,45,10-10-2025,Available
INV00103,PRD00266,SUP0197,Hyderabad WH,95,71,25-11-2025,Low Stock
INV00104,PRD00243,SUP0498,Bengaluru WH,739,177,20-09-2025,Out of Stock
INV00105,PRD00694,SUP0489,Delhi WH,457,42,16-06-2025,Low Stock
INV00106,PRD01088,SUP0049,Hyderabad WH,293,144,11-02-2025,Available
INV00107,PRD01181,SUP0256,Chennai WH,134,170,15-02-2025,Low Stock
INV00108,PRD00474,SUP0118,Hyderabad WH,151,153,11-07-2025,available
INV00109,PRD01149,SUP0038,Chennai WH,267,36,27-05-2025,Low Stock
