order_item_id,order_id,product_id,quantity,unit_price,discount,total_price
OI000001,ORD07164,PRD01135,1,41711,10,37539
OI000002,ORD06740,PRD00232,1,3397,0,3397
OI000003,ORD05527,PRD00042,1,2909,null,2472
OI000004,ORD00030,PRD01009,2,6989,5,13279
OI000005,ORD06230,PRD01608,5,23141,0,115705
OI000006,ORD05496,PRD00123,3,3017,0,9051
OI000007,ORD01581,PRD01058,7,11041,15,65693
OI000008,ORD03660,PRD00957,7,2814,15,16743
OI000009,ORD06040,PRD00047,4,13722,0,54888
OI000010,ORD04966,PRD00472,7,30221,5,200969
OI000011,ORD09338,PRD01541,3,19323,15,49273
OI000012,ORD04295,PRD00126,8,27408,10,197337
OI000013,ORD06355,PRD00252,7,18977,5,126197
OI000014,ORD01340,PRD01184,3,9962,0,29886
OI000015,ORD07575,PRD01409,10,17865,5,169717
OI000016,ORD04568,PRD00067,6,43916,null,263496
OI000017,ORD00658,PRD00392,7,37675,5,250538
OI000018,ORD09507,PRD01871,2,13894,10,25009
OI000019,ORD03849,PRD01763,8,6365,5,48374
OI000020,ORD09937,PRD01776,2,47953,5,91110
OI000021,ORD01709,PRD01181,5,12393,0,61965
OI000022,ORD09620,PRD00323,5,4653,0,23265
OI000023,ORD03829,PRD01363,9,39554,10,320387
OI000024,ORD03856,PRD00178,8,46053,5,350002
OI000025,ORD04703,PRD00387,10,39495,10,355455
OI000026,ORD07208,PRD00018,10,9223,null,92230
OI000027,ORD04029,PRD00159,6,40313,5,229784
OI000028,ORD00544,PRD01268,9,10351,5,88501
OI000029,ORD09852,PRD00832,3,20425,15,52083
OI000030,ORD06630,PRD01259,6,8251,15,42080
OI000031,ORD09362,PRD01169,3,15159,5,43203
OI000032,ORD03530,PRD01090,10,19761,5,187729
OI000033,ORD05721,PRD01580,2,13398,5,25456
OI000034,ORD03564,PRD00576,10,24535,15,208547
OI000035,ORD00476,PRD00550,4,7494,10,26978
OI000036,ORD02658,PRD01448,2,45300,15,77010
OI000037,ORD03269,PRD00775,8,20209,0,161672
OI000038,ORD05718,PRD00622,2,9340,0,18680
OI000039,ORD05082,PRD00753,5,34341,5,163119
OI000040,ORD03665,PRD00051,7,49673,5,330325
OI000041,ORD04562,PRD01640,10,1684,10,15156
OI000042,ORD06466,PRD00026,2,16060,null,32120
OI000043,ORD09585,PRD01155,6,9076,5,51733
OI000044,ORD08543,PRD00206,6,8014,null,48084
OI000045,ORD07565,PRD01310,2,27971,15,47550
OI000046,ORD03447,PRD01512,3,10344,0,31032
OI000047,ORD09413,PRD00486,1,46358,15,39404
OI000048,ORD06828,PRD01625,1,35506,15,30180
OI000049,ORD07870,PRD01613,2,20900,15,35530
OI000050,ORD04171,PRD01155,1,24625,null,24625
OI000051,ORD09367,PRD01673,1,12322,null,12322
OI000052,ORD05477,PRD00946,9,6420,15,49113
OI000053,ORD05675,PRD00599,4,48261,null,193044
OI000054,ORD01162,PRD00821,1,29984,null,29984
OI000055,ORD08785,PRD01000,10,30037,10,270333
OI000056,ORD00204,PRD01407,6,27632,0,165792
OI000057,ORD07431,PRD00368,2,48056,15,81695
OI000058,ORD02674,PRD00387,4,9498,10,34192
OI000059,ORD01664,PRD00556,9,33293,5,284655
OI000060,ORD00124,PRD00757,4,26940,15,91596
OI000061,ORD00156,PRD00379,8,15137,0,121096
OI000062,ORD06525,PRD00462,4,49347,0,197388
OI000063,ORD06898,PRD01928,2,32008,0,64016
OI000064,ORD04236,PRD00162,6,33432,0,200592
OI000065,ORD03444,PRD01092,9,14631,5,125095
OI000066,ORD03520,PRD00034,7,4773,15,28399
OI000067,ORD00256,PRD00113,10,43684,null,436840
OI000068,ORD09731,PRD01903,4,32678,15,111105
OI000069,ORD00740,PRD01436,9,20346,0,183114
OI000070,ORD06774,PRD00271,7,7864,0,55048
OI000071,ORD04524,PRD01376,3,11603,15,29587
OI000072,ORD02206,PRD01918,4,28610,5,108718
OI000073,ORD08497,PRD01772,5,14681,10,66064
OI000074,ORD03014,PRD00357,6,35540,null,213240
OI000075,ORD06441,PRD00182,7,47219,null,330533
OI000076,ORD05081,PRD01066,9,38870,10,314847
OI000077,ORD01186,PRD00182,1,34144,10,30729
OI000078,ORD01437,PRD01548,3,11711,0,35133
OI000079,ORD07898,PRD00075,1,49630,0,49630
OI000080,ORD01510,PRD01324,2,37404,0,74808
OI000081,ORD09771,PRD00244,10,31536,15,268056
OI000082,ORD09968,PRD00705,1,20311,0,20311
OI000083,ORD08316,PRD01457,4,38617,5,146744
OI000084,ORD00408,PRD00622,6,41505,null,249030
OI000085,ORD09743,PRD00104,7,47545,15,282892
OI000086,ORD01880,PRD01688,9,7859,5,67194
OI000087,ORD06617,PRD01060,2,49633,15,84376
OI000088,ORD02325,PRD01825,3,34228,15,87281
OI000089,ORD00521,PRD01549,3,39565,0,118695
OI000090,ORD05629,PRD01025,9,40646,5,347523
OI000091,ORD02151,PRD00878,1,23563,15,20028
OI000092,ORD06330,PRD00273,4,1170,15,3978
OI000093,ORD07818,PRD01174,6,48294,null,289764
OI000094,ORD07209,PRD00373,7,5613,10,35361
OI000095,ORD05039,PRD01965,7,15242,0,106694
OI000096,ORD05209,PRD01774,10,12794,15,108749
OI000097,ORD08714,PRD00155,4,45266,0,181064
OI000098,ORD05788,PRD01978,5,663,10,2983
OI000099,ORD03651,PRD01683,9,5555,10,44995
OI000100,ORD03579,PRD01324,5,21513,5,102186
OI000101,ORD04914,PRD01017,9,21792,15,166708
OI000102,ORD07713,PRD01303,10,9934,0,99340
OI000103,ORD00640,PRD00085,9,44725,5,382398
OI000104,ORD03645,PRD00370,7,4138,0,28966
OI000105,ORD04847,PRD01694,4,4911,15,16697
OI000106,ORD08644,PRD00164,3,9983,10,26954
OI000107,ORD02417,PRD01833,4,34688,5,131814
OI000108,ORD01764,PRD01617,8,29350,10,211320
OI000109,ORD02088,PRD01313,2,7290,10,13122
OI000110,ORD05350,PRD00507,2,26596,null,53192
OI000111,ORD05857,PRD00824,6,47340,10,255636
OI000112,ORD01634,PRD00915,2,16233,0,32466
OI000113,ORD07456,PRD00662,9,3755,5,32105
OI000114,ORD06989,PRD00059,10,2598,null,25980
OI000115,ORD06479,PRD01554,1,10952,null,10952
OI000116,ORD03441,PRD00593,6,1555,5,8863
OI000117,ORD09010,PRD01603,1,40206,null,40206
OI000118,ORD09708,PRD00911,2,5680,5,10792
OI000119,ORD02012,PRD01859,10,49766,10,447894
OI000120,ORD06105,PRD01177,2,42439,10,76390
OI000121,ORD07134,PRD00401,1,28555,10,25699
OI000122,ORD04915,PRD01113,3,43079,5,122775
OI000123,ORD03293,PRD00720,4,24590,15,83606
OI000124,ORD01018,PRD00939,4,49721,10,178995
OI000125,ORD04165,PRD00365,1,48869,0,48869
OI000126,ORD05361,PRD00209,1,4105,15,3489
OI000127,ORD05136,PRD00424,5,49716,5,236151
OI000128,ORD05279,PRD00703,10,46974,5,446253
OI000129,ORD05225,PRD00948,6,8579,null,51474
OI000130,ORD01833,PRD01867,7,39729,null,278103
OI000131,ORD01212,PRD01055,5,10713,10,48208
OI000132,ORD06292,PRD00314,10,41210,5,391495
OI000133,ORD05733,PRD00805,5,21511,10,96799
OI000134,ORD08414,PRD00687,1,5251,15,4463
OI000135,ORD00356,PRD01883,1,44744,null,44744
OI000136,ORD04998,PRD01738,2,30264,0,60528
OI000137,ORD02490,PRD01162,5,22710,10,102195
OI000138,ORD02867,PRD01998,9,36528,10,295876
OI000139,ORD05755,PRD01101,6,2186,10,11804
OI000140,ORD04872,PRD00689,5,33387,0,166935
OI000141,ORD06949,PRD00047,8,29681,0,237448
OI000142,ORD08895,PRD00337,3,31059,0,93177
OI000143,ORD07549,PRD01460,6,8862,0,53172
OI000144,ORD09603,PRD01834,9,27174,0,244566
OI000145,ORD09309,PRD01568,5,18915,5,89846
OI000146,ORD09523,PRD00484,9,17941,0,161469
OI000147,ORD04967,PRD00504,5,43096,10,193932
OI000148,ORD03408,PRD00715,4,11871,10,42735
OI000149,ORD06776,PRD01154,7,49436,5,328749
OI000150,ORD05643,PRD00373,4,36045,0,144180
OI000151,ORD09563,PRD01525,3,6943,null,20829
OI000152,ORD06045,PRD01214,1,49072,5,46618
OI000153,ORD05955,PRD00422,10,21285,0,212850
OI000154,ORD03533,PRD00516,3,25635,0,76905
OI000155,ORD03738,PRD01739,8,8595,5,65322
OI000156,ORD09377,PRD00234,1,30717,10,27645
OI000157,ORD07262,PRD00697,10,21697,null,216970
OI000158,ORD02543,PRD00877,10,11151,5,105934
OI000159,ORD04219,PRD01750,8,4285,0,34280
OI000160,ORD01956,PRD01777,10,32608,10,293472
OI000161,ORD01119,PRD01825,1,6038,5,5736
OI000162,ORD08146,PRD00207,9,33089,0,297801
OI000163,ORD08832,PRD01684,10,43847,5,416546
OI000164,ORD09743,PRD01861,7,3502,null,24514
OI000165,ORD09838,PRD01957,2,15027,5,28551
OI000166,ORD02435,PRD01781,9,7598,0,68382
OI000167,ORD02790,PRD01529,3,1578,null,4734
OI000168,ORD02251,PRD01305,10,29262,10,263358
OI000169,ORD08021,PRD01145,9,18711,5,159979
OI000170,ORD06185,PRD00512,6,6648,null,39888
OI000171,ORD06264,PRD00732,4,17129,null,68516
OI000172,ORD08641,PRD01986,2,38312,15,65130
OI000173,ORD01690,PRD01643,8,22615,15,153782
OI000174,ORD04850,PRD01801,1,26305,10,23674
OI000175,ORD00093,PRD01421,4,29061,null,116244
OI000176,ORD08179,PRD01052,8,48372,15,328929
OI000177,ORD00552,PRD01435,9,32513,5,277986
OI000178,ORD03355,PRD01677,9,35511,15,271659
OI000179,ORD08062,PRD01501,3,37211,10,100469
OI000180,ORD09573,PRD01206,9,38762,5,331415
OI000181,ORD04135,PRD01557,1,30201,0,30201
OI000182,ORD00871,PRD00557,7,11606,0,81242
OI000183,ORD08826,PRD01376,1,20207,15,17175
OI000184,ORD09555,PRD00946,7,48636,5,323429
OI000185,ORD08761,PRD01259,2,24673,5,46878
OI000186,ORD07792,PRD00908,9,15530,5,132781
OI000187,ORD00192,PRD01189,10,4268,10,38412
OI000188,ORD06484,PRD00019,1,20700,0,20700
OI000189,ORD01461,PRD00144,3,36756,10,99241
OI000190,ORD00414,PRD01082,6,26514,null,159084
OI000191,ORD07907,PRD00483,10,9319,0,93190
OI000192,ORD01970,PRD01009,2,14541,15,24719
OI000193,ORD08532,PRD00868,2,4596,5,8732
OI000194,ORD08731,PRD01104,10,9061,15,77018
OI000195,ORD07514,PRD01814,7,28685,0,200795
OI000196,ORD08730,PRD00790,7,17104,5,113741
OI000197,ORD00491,PRD00058,7,17855,null,124985
OI000198,ORD09604,PRD00220,7,44589,0,312123
OI000199,ORD01549,PRD01435,10,35303,15,300075
OI000200,ORD04881,PRD01623,5,42418,10,190881
OI000201,ORD05090,PRD00874,4,10274,5,39041
OI000202,ORD04169,PRD00128,4,40224,5,152851
OI000203,ORD03750,PRD00660,4,42742,15,145322
OI000204,ORD09279,PRD00748,2,38570,null,77140
OI000205,ORD06740,PRD01478,10,20455,5,194322
OI000206,ORD05100,PRD01025,2,38356,0,76712
OI000207,ORD06539,PRD01858,6,22229,null,133374
OI000208,ORD08147,PRD01497,6,19427,15,99077
OI000209,ORD09810,PRD00031,6,19325,0,115950
OI000210,ORD00694,PRD00258,8,31735,15,215798
OI000211,ORD04905,PRD01565,7,46759,5,310947
OI000212,ORD04065,PRD01300,8,42769,null,342152
OI000213,ORD04774,PRD00851,5,21699,10,97645
OI000214,ORD06429,PRD00682,3,37549,15,95749
OI000215,ORD09411,PRD00964,8,34571,10,248911
OI000216,ORD08839,PRD01518,5,48761,5,231614
OI000217,ORD03949,PRD00691,7,37578,null,263046
OI000218,ORD01888,PRD00764,6,15598,null,93588
OI000219,ORD02965,PRD00117,9,48978,0,440802
OI000220,ORD03563,PRD00658,4,23100,15,78540
OI000221,ORD07381,PRD00994,5,14996,null,74980
OI000222,ORD02324,PRD00660,9,2571,10,20825
OI000223,ORD09482,PRD00377,6,16590,10,89586
OI000224,ORD08973,PRD01194,9,12023,null,108207
OI000225,ORD03431,PRD00250,3,40867,null,122601
OI000226,ORD06593,PRD00116,7,15420,null,107940
OI000227,ORD04612,PRD00285,7,41641,0,291487
OI000228,ORD07172,PRD00144,7,13664,15,81300
OI000229,ORD08051,PRD00986,2,49991,5,94982
OI000230,ORD03659,PRD01244,3,21177,10,57177
OI000231,ORD09623,PRD00582,8,13202,5,100335
OI000232,ORD03682,PRD01156,8,15800,5,120080
OI000233,ORD04496,PRD01075,9,46272,10,374803
OI000234,ORD00002,PRD01031,1,49740,0,49740
OI000235,ORD09037,PRD01524,7,39710,0,277970
OI000236,ORD09104,PRD01412,3,6418,10,17328
OI000237,ORD06448,PRD01768,3,48497,10,130941
OI000238,ORD00474,PRD01361,5,49342,0,246710
OI000239,ORD05070,PRD01372,2,28001,5,53201
OI000240,ORD01484,PRD01695,1,22786,5,21646
OI000241,ORD06480,PRD01782,8,7590,15,51612
