order_id,project_id,customer_id,order_date,order_status,payment_status,total_amount
ORD00001,PROJ01510,CUS001571,2025-03-14,Shipped,paid,204455
ORD00002,PROJ04426,CUS000961,2025-07-07,Delivered,Partial,44069
ORD00003,PROJ04034,CUS003248,2024-12-10,confirmed,Partial,276001
ORD00004,PROJ03713,CUS001145,2024-04-28,confirmed,Pending,411813
ORD00005,PROJ01874,CUS001613,2024-05-28,Confirmed,Partial,34025
ORD00006,PROJ04173,CUS004149,2024-06-24,Delivered,Pending,463434
ORD00007,PROJ02148,CUS001003,2024-10-03,Delivered,paid,386709
ORD00008,PROJ01441,CUS002398,2024-08-10,Cancelled,Paid,28119
ORD00009,PROJ00497,CUS001408,2024-12-15,confirmed,Paid,406835
ORD00010,PROJ02669,CUS002036,2024-10-10,confirmed,Paid,269205
ORD00011,PROJ00559,CUS002342,2024-11-12,Delivered,Paid,295534
ORD00012,PROJ03245,CUS002859,2024-12-04,Cancelled,Paid,41753
ORD00013,PROJ03500,CUS004861,2025-01-30,Confirmed,Partial,228193
ORD00014,PROJ02108,CUS000830,2025-02-09,Shipped,paid,214198
ORD00015,PROJ03775,CUS004927,2025-03-01,confirmed,paid,17189
ORD00016,PROJ00972,CUS003640,2025-04-08,Shipped,Paid,251732
ORD00017,PROJ01102,CUS003776,2024-07-15,Shipped,Pending,312391
ORD00018,PROJ04507,CUS002797,2024-11-07,Shipped,Partial,51790
ORD00019,PROJ02687,CUS003597,2025-07-13,Confirmed,paid,401718
ORD00020,PROJ00682,CUS000105,2024-11-24,Cancelled,paid,102279
ORD00021,PROJ02048,CUS002868,2025-09-30,Confirmed,Pending,242451
ORD00022,PROJ03681,CUS004220,2025-10-14,confirmed,paid,96079
ORD00023,PROJ02580,CUS003861,2024-07-06,Confirmed,paid,414132
ORD00024,PROJ02752,CUS003645,2025-04-03,confirmed,Paid,371541
ORD00025,PROJ02838,CUS001909,2024-06-02,Cancelled,Paid,98033
ORD00026,PROJ00547,CUS002097,2025-08-01,confirmed,Pending,25170
ORD00027,PROJ03797,CUS003544,2025-11-22,Confirmed,Partial,441025
ORD00028,PROJ00174,CUS003863,2025-02-03,Confirmed,Pending,256164
ORD00029,PROJ00222,CUS002237,2024-05-06,confirmed,paid,176782
ORD00030,PROJ01547,CUS002033,2024-11-01,Shipped,paid,395775
ORD00031,PROJ00349,CUS001243,2024-06-23,Confirmed,Pending,492338
ORD00032,PROJ03793,CUS004695,2024-12-01,confirmed,Paid,371763
ORD00033,PROJ03192,CUS003058,2024-04-27,Cancelled,Partial,361824
ORD00034,PROJ04091,CUS002546,2024-08-15,Cancelled,Pending,332131
ORD00035,PROJ02101,CUS001161,2025-05-26,Shipped,Paid,136871
ORD00036,PROJ03060,CUS002578,2024-02-11,confirmed,Partial,265793
ORD00037,PROJ01230,CUS004604,2024-01-21,Cancelled,Paid,369574
ORD00038,PROJ03912,CUS000558,2025-03-07,Delivered,Partial,120513
ORD00039,PROJ01449,CUS000938,2025-08-27,Delivered,Pending,23666
ORD00040,PROJ04041,CUS003488,2025-07-08,Delivered,Pending,397601
ORD00041,PROJ02232,CUS004245,2024-12-23,Confirmed,Paid,203242
ORD00042,PROJ02636,CUS003616,2024-11-11,Confirmed,Partial,144271
ORD00043,PROJ03129,CUS003284,2024-03-12,Delivered,Pending,132320
ORD00044,PROJ02783,CUS000576,2024-08-28,Shipped,Partial,150872
ORD00045,PROJ04050,CUS004086,2025-02-05,confirmed,Paid,130679
ORD00046,PROJ02220,CUS003351,2024-05-29,Confirmed,Paid,230298
ORD00047,PROJ04004,CUS001551,2024-09-22,confirmed,Partial,319491
ORD00048,PROJ03922,CUS003468,2025-10-19,Shipped,Pending,362092
ORD00049,PROJ02483,CUS003537,2024-12-05,Shipped,Paid,25828
ORD00050,PROJ04555,CUS002862,2025-07-19,Confirmed,Paid,122827
ORD00051,PROJ03869,CUS001017,2024-12-22,Confirmed,paid,412654
ORD00052,PROJ04473,CUS003179,2024-11-26,Delivered,Pending,207193
ORD00053,PROJ03527,CUS000069,2024-07-09,Delivered,Paid,120188
ORD00054,PROJ01672,CUS000425,2025-01-09,Cancelled,paid,276866
ORD00055,PROJ01589,CUS000408,2024-07-20,Confirmed,Partial,491625
ORD00056,PROJ01616,CUS001685,2025-09-16,Cancelled,Partial,472473
ORD00057,PROJ01164,CUS001243,2024-09-22,Cancelled,paid,21638
ORD00058,PROJ02701,CUS001166,2025-09-03,Cancelled,Pending,239073
ORD00059,PROJ01964,CUS001795,2025-02-15,Delivered,paid,126517
ORD00060,PROJ00057,CUS004820,2024-11-03,Cancelled,paid,129244
ORD00061,PROJ01043,CUS000983,2024-04-30,Confirmed,Partial,384983
ORD00062,PROJ02053,CUS004502,2025-06-16,Shipped,Paid,49379
ORD00063,PROJ04026,CUS002584,2024-07-30,Cancelled,Partial,397745
ORD00064,PROJ01562,CUS001010,2024-10-26,Cancelled,paid,298926
ORD00065,PROJ01023,CUS002017,2024-03-05,Cancelled,Paid,252223
ORD00066,PROJ00786,CUS000773,2024-08-22,Shipped,Partial,162043
ORD00067,PROJ00163,CUS004326,2025-05-02,Shipped,Pending,322912
ORD00068,PROJ04047,CUS000825,2024-04-07,Cancelled,Pending,116539
ORD00069,PROJ02232,CUS000296,2025-09-03,Shipped,Paid,458617
ORD00070,PROJ01205,CUS003099,2025-04-26,Confirmed,Partial,51296
ORD00071,PROJ04646,CUS004902,2024-04-25,Shipped,Partial,486106
ORD00072,PROJ02361,CUS003113,2025-01-31,Cancelled,Pending,44661
