payment_id,order_id,payment_date,payment_method,amount_paid,payment_status
PAY00001,ORD07511,20-09-2025,Debit Card,109760,Paid
PAY00002,ORD01501,18-11-2025,UPI,309926,Partial
PAY00003,ORD08077,26-03-2025,UPI,439149,Partial
PAY00004,ORD05367,09-10-2025,Debit Card,217609,Pending
PAY00005,ORD07892,04-10-2025,UPI,288317,Paid
PAY00006,ORD07647,02-12-2025,Cash,230050,Pending
PAY00007,ORD04101,20-10-2025,Credit Card,229354,Pending
PAY00008,ORD09184,26-11-2025,Bank Transfer,36076,Pending
PAY00009,ORD01017,10-10-2025,Cash,459266,Paid
PAY00010,ORD04968,07-05-2025,Credit Card,406842,Partial
PAY00011,ORD08393,07-02-2025,UPI,131766,paid
PAY00012,ORD00978,11-09-2025,Bank Transfer,470505,paid
PAY00013,ORD01958,20-02-2025,Debit Card,399986,Pending
PAY00014,ORD05690,20-10-2025,Debit Card,471893,Pending
PAY00015,ORD00550,18-03-2025,Debit Card,382900,Paid
PAY00016,ORD04559,24-11-2025,Bank Transfer,470677,Pending
PAY00017,ORD09738,26-02-2025,Cash,351417,Partial
PAY00018,ORD01613,12-07-2025,Credit Card,205921,Paid
PAY00019,ORD05820,12-11-2025,Debit Card,244547,Partial
PAY00020,ORD04991,07-10-2025,Credit Card,115835,Partial
PAY00021,ORD01047,14-01-2025,Cash,66734,Paid
PAY00022,ORD05651,04-03-2025,Debit Card,67341,paid
PAY00023,ORD04724,02-10-2025,Debit Card,220947,Partial
PAY00024,ORD02386,15-12-2025,Credit Card,41534,Partial
PAY00025,ORD09232,15-09-2025,Credit Card,418932,paid
PAY00026,ORD07465,24-02-2025,Credit Card,309952,paid
PAY00027,ORD05590,11-12-2025,Cash,337705,Pending
PAY00028,ORD06221,06-05-2025,Debit Card,24383,Paid
PAY00029,ORD05660,26-03-2025,Cash,186494,Partial
PAY00030,ORD06341,10-02-2025,Debit Card,384219,Pending
PAY00031,ORD09699,13-12-2025,Credit Card,6760,paid
PAY00032,ORD03820,11-05-2025,Bank Transfer,221608,paid
PAY00033,ORD02156,21-06-2025,Credit Card,403598,Pending
PAY00034,ORD04718,09-12-2025,Credit Card,21455,Pending
PAY00035,ORD09364,24-06-2025,Credit Card,400078,Pending
PAY00036,ORD00132,25-09-2025,Cash,315794,Paid
PAY00037,ORD09364,17-02-2025,Cash,222931,Pending
PAY00038,ORD06891,04-08-2025,Debit Card,35063,paid
PAY00039,ORD09034,17-03-2025,Debit Card,140030,Paid
PAY00040,ORD03373,10-12-2025,UPI,218779,paid
PAY00041,ORD09095,04-06-2025,Bank Transfer,367181,Pending
PAY00042,ORD08743,17-12-2025,Bank Transfer,424937,Partial
PAY00043,ORD07342,14-03-2025,UPI,499940,Paid
PAY00044,ORD05588,11-02-2025,UPI,350448,paid
PAY00045,ORD08329,24-10-2025,Cash,248284,Partial
PAY00046,ORD04268,11-11-2025,Credit Card,473466,Paid
PAY00047,ORD05321,06-11-2025,Debit Card,202623,Paid
PAY00048,ORD02610,25-04-2025,Bank Transfer,29073,Partial
PAY00049,ORD01687,23-07-2025,Bank Transfer,449253,Partial
PAY00050,ORD03511,25-12-2025,Cash,320752,Pending
PAY00051,ORD03244,24-03-2025,Bank Transfer,363520,Pending
PAY00052,ORD03562,04-04-2025,Credit Card,222260,Paid
PAY00053,ORD05000,28-05-2025,Debit Card,36128,paid
