product_id,category_id,supplier_id,product_name,material_type,cost_price,selling_price,status
PRD00001,CAT014,SUP0039,Product 1,Wood,43870,53504,active
PRD00002,CAT027,SUP0471,Product 2,Marble,48278,48583,active
PRD00003,CAT036,SUP0332,Product 3,Marble,27304,35343,Active
PRD00004,CAT037,SUP0075,Product 4,Glass,3885,18072,Active
PRD00005,CAT012,SUP0071,Product 5,Laminate,48437,57897,active
PRD00006,CAT040,SUP0175,Product 6,Glass,41333,43720,Active
PRD00007,CAT031,SUP0405,Product 7,Wood,39931,49890,active
PRD00008,CAT035,SUP0129,Product 8,Marble,16946,30432,active
PRD00009,CAT013,SUP0162,Product 9,Plywood,19806,23449,Discontinued
PRD00010,CAT032,SUP0485,Product 10,Marble,9347,16862,Active
PRD00011,CAT022,SUP0238,Product 11,Wood,48568,59915,Active
PRD00012,CAT030,SUP0014,Product 12,Plywood,48411,51228,active
PRD00013,CAT010,SUP0487,Product 13,Wood,8317,9471,Discontinued
PRD00014,CAT039,SUP0024,Product 14,Steel,1274,15644,Discontinued
PRD00015,CAT007,SUP0187,Product 15,Steel,47879,49379,Discontinued
PRD00016,CAT021,SUP0042,Product 16,Plywood,23437,38057,active
PRD00017,CAT011,SUP0190,Product 17,Plywood,14355,29246,Active
PRD00018,CAT037,SUP0356,Product 18,Plywood,32817,40534,active
PRD00019,CAT007,SUP0405,Product 19,Laminate,12668,26313,Discontinued
PRD00020,CAT035,SUP0370,Product 20,Plywood,45127,54702,active
PRD00021,CAT005,SUP0385,Product 21,Wood,18227,32548,Active
PRD00022,CAT009,SUP0130,Product 22,Steel,29034,31964,Active
PRD00023,CAT003,SUP0001,Product 23,Marble,19394,32405,Discontinued
PRD00024,CAT031,SUP0123,Product 24,Plywood,33071,47554,Active
PRD00025,CAT007,SUP0405,Product 25,Steel,23374,25701,Active
PRD00026,CAT005,SUP0477,Product 26,Steel,4083,9317,active
PRD00027,CAT004,SUP0466,Product 27,Steel,3719,11845,Discontinued
PRD00028,CAT003,SUP0257,Product 28,Laminate,20804,24001,active
PRD00029,CAT034,SUP0401,Product 29,Plywood,5667,18087,Active
PRD00030,CAT006,SUP0091,Product 30,Marble,49727,59425,Active
PRD00031,CAT005,SUP0191,Product 31,Glass,43127,54440,active
PRD00032,CAT035,SUP0099,Product 32,Plywood,43070,58067,active
PRD00033,CAT026,SUP0304,Product 33,Laminate,16753,28753,Active
PRD00034,CAT020,SUP0246,Product 34,Plywood,31905,38545,active
PRD00035,CAT024,SUP0085,Product 35,Marble,26856,27360,Active
PRD00036,CAT011,SUP0302,Product 36,Steel,26188,28154,Discontinued
PRD00037,CAT031,SUP0097,Product 37,Glass,18654,23720,Discontinued
PRD00038,CAT011,SUP0263,Product 38,Wood,9428,20327,Active
PRD00039,CAT015,SUP0230,Product 39,Plywood,5659,17292,Active
PRD00040,CAT023,SUP0378,Product 40,Glass,27530,32159,active
PRD00041,CAT005,SUP0367,Product 41,Laminate,8315,10766,active
PRD00042,CAT021,SUP0022,Product 42,Wood,21433,22469,Discontinued
PRD00043,CAT023,SUP0380,Product 43,Marble,3887,8348,Active
PRD00044,CAT033,SUP0312,Product 44,Glass,38392,40009,Discontinued
PRD00045,CAT034,SUP0394,Product 45,Laminate,31130,31971,Active
PRD00046,CAT036,SUP0048,Product 46,Steel,20759,21657,Discontinued
PRD00047,CAT014,SUP0255,Product 47,Laminate,45655,54044,Discontinued
PRD00048,CAT039,SUP0302,Product 48,Glass,38636,43540,Active
PRD00049,CAT012,SUP0013,Product 49,Marble,4070,7287,active
PRD00050,CAT034,SUP0211,Product 50,Steel,27639,30912,active
PRD00051,CAT008,SUP0012,Product 51,Plywood,20418,31227,active
PRD00052,CAT038,SUP0358,Product 52,Marble,5783,7040,Active
PRD00053,CAT037,SUP0254,Product 53,Marble,34455,48618,active
PRD00054,CAT036,SUP0460,Product 54,Glass,32837,36946,Active
PRD00055,CAT002,SUP0010, Product 55,Steel,25452,27169,Discontinued
PRD00056,CAT027,SUP0458,Product 56,Laminate,12613,25130,Discontinued
PRD00057,CAT011,SUP0257,Product 57,Wood,11456,17158,active
PRD00058,CAT021,SUP0043,Product 58,Marble,30722,35538,Discontinued
PRD00059,CAT030,SUP0055,Product 59,Marble,23974,30833,Active
PRD00060,CAT012,SUP0099,Product 60,Plywood,18253,29181,active
PRD00061,CAT022,SUP0404,Product 61,Steel,34440,45654,Active
PRD00062,CAT034,SUP0219,Product 62,Glass,10183,20405,active
PRD00063,CAT029,SUP0251,Product 63,Plywood,16207,22228,Discontinued
PRD00064,CAT006,SUP0338,Product 64,Laminate,45600,51848,Discontinued
PRD00065,CAT003,SUP0035,Product 65,Glass,43595,52450,Active
PRD00066,CAT008,SUP0284,Product 66,Laminate,40453,40928,Active
PRD00067,CAT010,SUP0473,Product 67,Steel,31127,44986,active
PRD00068,CAT015,SUP0449,Product 68,Wood,7711,17908,Discontinued
PRD00069,CAT003,SUP0230,Product 69,Marble,32750,36209,Discontinued
PRD00070,CAT011,SUP0292,Product 70,Plywood,2471,9166,active
PRD00071,CAT026,SUP0114,Product 71,Steel,14235,24323,active
PRD00072,CAT009,SUP0198,Product 72,Steel,4722,14539,Discontinued
PRD00073,CAT035,SUP0430,Product 73,Wood,8406,9934,active
PRD00074,CAT001,SUP0071,Product 74,Plywood,37858,41247,Active
PRD00075,CAT002,SUP0275,Product 75,Plywood,30029,36962,Active
PRD00076,CAT034,SUP0300,Product 76,Steel,4534,17494,active
PRD00077,CAT007,SUP0321,Product 77,Plywood,48648,59385,Active
PRD00078,CAT017,SUP0362,Product 78,Laminate,1307,15732,active
PRD00079,CAT015,SUP0002,Product 79,Marble,49724,61283,Active
PRD00080,CAT036,SUP0350,Product 80,Steel,32850,35290,Discontinued
PRD00081,CAT008,SUP0437,Product 81,Marble,35764,42105,Active
PRD00082,CAT019,SUP0001,Product 82,Wood,34690,47337,Discontinued
PRD00083,CAT038,SUP0465,Product 83,Laminate,8538,9824,Discontinued
PRD00084,CAT020,SUP0129,Product 84,Steel,10967,14465,active
PRD00085,CAT017,SUP0369,Product 85,Plywood,14617,22620,Discontinued
PRD00086,CAT008,SUP0492,Product 86,Wood,38508,41833,active
PRD00087,CAT033,SUP0247,Product 87,Steel,16948,22182,active
PRD00088,CAT039,SUP0397,Product 88,Steel,11400,26037,Discontinued
PRD00089,CAT029,SUP0474,Product 89,Glass,35425,50389,Active
PRD00090,CAT020,SUP0118,Product 90,Wood,18213,27380,Active
PRD00091,CAT012,SUP0462,Product 91,Laminate,48255,55597,Discontinued
PRD00092,CAT019,SUP0093,Product 92,Plywood,24939,39635,Discontinued
PRD00093,CAT025,SUP0040,Product 93,Laminate,12120,26897,Active
PRD00094,CAT010,SUP0007,Product 94,Laminate,34708,42758,active
PRD00095,CAT033,SUP0198,Product 95,Wood,1718,11103,Active
PRD00096,CAT033,SUP0228,Product 96,Glass,44766,59225,active
PRD00097,CAT015,SUP0106,Product 97,Plywood,24274,36404,active
PRD00098,CAT038,SUP0285,Product 98,Wood,43605,46316,Discontinued
PRD00099,CAT003,SUP0167,Product 99,Marble,6379,8374,Active
PRD00100,CAT012,SUP0311,Product 100,Laminate,14258,15242,Discontinued
PRD00101,CAT024,SUP0171,Product 101,Laminate,7197,18349,Discontinued
PRD00102,CAT035,SUP0402,Product 102,Laminate,14558,15429,active
PRD00103,CAT029,SUP0387,Product 103,Laminate,16462,27812,Discontinued
PRD00104,CAT001,SUP0448,Product 104,Wood,35896,41739,active
PRD00105,CAT018,SUP0222,Product 105,Laminate,9373,13720,Discontinued
PRD00106,CAT033,SUP0479,Product 106,Wood,18845,28101,Active
PRD00107,CAT011,SUP0211,Product 107,Steel,35506,39979,active
PRD00108,CAT005,SUP0076,Product 108,Steel,33853,47517,Active
PRD00109,CAT036,SUP0391,Product 109,Plywood,34343,46364,active
PRD00110,CAT040,SUP0427, Product 110,Marble,1659,4739,Active
PRD00111,CAT016,SUP0188,Product 111,Marble,14300,20469,Discontinued
PRD00112,CAT017,SUP0307,Product 112,Laminate,38601,47163,Discontinued
PRD00113,CAT021,SUP0214,Product 113,Plywood,31994,46074,Discontinued
PRD00114,CAT031,SUP0177,Product 114,Plywood,35354,40700,Discontinued
PRD00115,CAT006,SUP0241,Product 115,Glass,28585,30568,active
PRD00116,CAT031,SUP0060,Product 116,Marble,24437,36048,Discontinued
PRD00117,CAT021,SUP0357,Product 117,Laminate,767,14247,Discontinued
PRD00118,CAT025,SUP0070,Product 118,Marble,5399,15913,Active
PRD00119,CAT007,SUP0330,Product 119,Plywood,31560,40280,Discontinued
PRD00120,CAT027,SUP0274,Product 120,Marble,15038,22888,active
PRD00121,CAT018,SUP0263,Product 121,Steel,13371,19886,Active
PRD00122,CAT016,SUP0120,Product 122,Marble,19041,28228,Discontinued
PRD00123,CAT001,SUP0127,Product 123,Steel,30925,44217,Discontinued
PRD00124,CAT027,SUP0031,Product 124,Laminate,34532,44245,Discontinued
PRD00125,CAT009,SUP0039,Product 125,Marble,8699,9121,Active
PRD00126,CAT016,SUP0086,Product 126,Wood,26138,38506,Discontinued
PRD00127,CAT025,SUP0045,Product 127,Marble,32941,44543,active
PRD00128,CAT007,SUP0223,Product 128,Glass,16619,28230,Discontinued
PRD00129,CAT026,SUP0275,Product 129,Steel,44908,49232,Discontinued
PRD00130,CAT021,SUP0421,Product 130,Glass,10562,25509,active
PRD00131,CAT019,SUP0445,Product 131,Laminate,36846,43499,Discontinued
PRD00132,CAT031,SUP0229,Product 132,Laminate,26251,40776,active
PRD00133,CAT034,SUP0079,Product 133,Glass,40891,45685,active
PRD00134,CAT012,SUP0192,Product 134,Glass,20452,32604,Active
PRD00135,CAT005,SUP0373,Product 135,Steel,12946,25298,Active
PRD00136,CAT022,SUP0273,Product 136,Glass,36898,43652,active
PRD00137,CAT035,SUP0022,Product 137,Plywood,30065,44491,Discontinued
PRD00138,CAT021,SUP0208,Product 138,Steel,37496,46688,Active
PRD00139,CAT017,SUP0105,Product 139,Glass,17505,23973,Active
PRD00140,CAT037,SUP0308,Product 140,Plywood,12722,23213,Discontinued
PRD00141,CAT040,SUP0244,Product 141,Steel,6846,9585,active
PRD00142,CAT007,SUP0414,Product 142,Steel,633,11971,active
PRD00143,CAT001,SUP0279,Product 143,Wood,33253,39682,Discontinued
PRD00144,CAT007,SUP0089,Product 144,Wood,37243,51251,active
PRD00145,CAT031,SUP0088,Product 145,Wood,23968,35185,active
PRD00146,CAT011,SUP0426,Product 146,Steel,17542,27292,Discontinued
PRD00147,CAT015,SUP0035,Product 147,Laminate,11711,23712,Discontinued
PRD00148,CAT024,SUP0395,Product 148,Glass,29773,37430,active
PRD00149,CAT019,SUP0086,Product 149,Wood,41778,45779,Discontinued
PRD00150,CAT019,SUP0347,Product 150,Steel,14101,26906,Active
PRD00151,CAT034,SUP0044,Product 151,Plywood,8352,18777,Discontinued
PRD00152,CAT025,SUP0431,Product 152,Glass,15172,15962,active
PRD00153,CAT032,SUP0169,Product 153,Glass,1775,6241,active
PRD00154,CAT040,SUP0022,Product 154,Glass,33927,43945,Discontinued
PRD00155,CAT030,SUP0240,Product 155,Glass,8821,11605,Discontinued
PRD00156,CAT034,SUP0235,Product 156,Glass,17935,18613,Discontinued
PRD00157,CAT022,SUP0120,Product 157,Laminate,43080,46915,Discontinued
PRD00158,CAT007,SUP0392,Product 158,Wood,33403,34878,Discontinued
PRD00159,CAT010,SUP0441,Product 159,Wood,21784,24579,Active
PRD00160,CAT038,SUP0323,Product 160,Glass,27529,36652,active
PRD00161,CAT005,SUP0018,Product 161,Plywood,4530,9697,active
PRD00162,CAT015,SUP0476,Product 162,Glass,35219,38337,Active
PRD00163,CAT022,SUP0362,Product 163,Marble,943,7865,active
PRD00164,CAT003,SUP0195,Product 164,Steel,33464,35585,active
PRD00165,CAT019,SUP0023, Product 165,Laminate,39871,53748,Active
PRD00166,CAT007,SUP0190,Product 166,Glass,23126,24704,active
PRD00167,CAT004,SUP0246,Product 167,Glass,46261,60749,active
PRD00168,CAT025,SUP0493,Product 168,Steel,37000,45416,Discontinued
PRD00169,CAT031,SUP0393,Product 169,Wood,13691,22770,active
PRD00170,CAT001,SUP0033,Product 170,Marble,38309,42099,Active
PRD00171,CAT029,SUP0255,Product 171,Laminate,24205,30180,Discontinued
PRD00172,CAT012,SUP0019,Product 172,Laminate,32037,37938,Active
PRD00173,CAT009,SUP0264,Product 173,Steel,8983,17293,active
PRD00174,CAT040,SUP0226,Product 174,Wood,46656,56030,Active
PRD00175,CAT021,SUP0247,Product 175,Glass,8424,21344,Discontinued
PRD00176,CAT036,SUP0267,Product 176,Wood,9617,14265,Active
PRD00177,CAT023,SUP0415,Product 177,Glass,46962,55212,Discontinued
PRD00178,CAT040,SUP0200,Product 178,Steel,26825,40851,Active
PRD00179,CAT019,SUP0315,Product 179,Glass,17968,22092,Active
PRD00180,CAT014,SUP0440,Product 180,Glass,44066,56841,Discontinued
PRD00181,CAT015,SUP0061,Product 181,Glass,21761,33680,Discontinued
PRD00182,CAT038,SUP0294,Product 182,Steel,43028,49797,active
PRD00183,CAT018,SUP0481,Product 183,Laminate,7781,13964,active
PRD00184,CAT019,SUP0458,Product 184,Glass,22484,32978,Discontinued
PRD00185,CAT016,SUP0444,Product 185,Wood,650,8379,Discontinued
PRD00186,CAT005,SUP0168,Product 186,Glass,14876,28077,Active
PRD00187,CAT027,SUP0070,Product 187,Marble,46523,48390,Active
PRD00188,CAT039,SUP0288,Product 188,Plywood,34287,45289,Active
PRD00189,CAT039,SUP0371,Product 189,Marble,32299,44512,Active
PRD00190,CAT028,SUP0474,Product 190,Glass,48767,63536,Discontinued
PRD00191,CAT017,SUP0213,Product 191,Marble,49445,50203,Discontinued
PRD00192,CAT002,SUP0140,Product 192,Wood,7894,12423,Active
PRD00193,CAT019,SUP0183,Product 193,Wood,40815,53997,Active
PRD00194,CAT011,SUP0376,Product 194,Plywood,31062,38179,active
PRD00195,CAT024,SUP0049,Product 195,Laminate,678,7499,Active
PRD00196,CAT024,SUP0023,Product 196,Steel,10182,23989,active
PRD00197,CAT004,SUP0183,Product 197,Plywood,29946,36533,active
PRD00198,CAT029,SUP0021,Product 198,Wood,34989,45460,Active
PRD00199,CAT001,SUP0394,Product 199,Glass,12795,18793,Active
PRD00200,CAT038,SUP0439,Product 200,Plywood,48457,53853,Discontinued
PRD00201,CAT032,SUP0418,Product 201,Steel,25196,26365,active
PRD00202,CAT011,SUP0361,Product 202,Steel,33711,47455,active
PRD00203,CAT002,SUP0431,Product 203,Steel,28533,42035,Discontinued
PRD00204,CAT019,SUP0374,Product 204,Marble,39033,40719,Discontinued
PRD00205,CAT009,SUP0374,Product 205,Wood,39882,42479,Discontinued
PRD00206,CAT026,SUP0075,Product 206,Marble,16382,30263,Active
PRD00207,CAT002,SUP0306,Product 207,Wood,36436,44552,Active
PRD00208,CAT039,SUP0055,Product 208,Glass,39130,50196,Active
PRD00209,CAT026,SUP0032,Product 209,Plywood,4208,12697,Active
PRD00210,CAT014,SUP0024,Product 210,Steel,5214,13507,active
PRD00211,CAT017,SUP0414,Product 211,Steel,33885,46120,Discontinued
PRD00212,CAT005,SUP0137,Product 212,Laminate,23779,29462,Discontinued
PRD00213,CAT004,SUP0292,Product 213,Marble,5198,7727,Active
PRD00214,CAT031,SUP0285,Product 214,Steel,32913,43031,Active
PRD00215,CAT033,SUP0459,Product 215,Wood,18913,20180,active
PRD00216,CAT019,SUP0324,Product 216,Plywood,35104,47832,Discontinued
PRD00217,CAT004,SUP0017,Product 217,Plywood,12553,14175,Active
PRD00218,CAT015,SUP0485,Product 218,Plywood,36203,43961,Discontinued
PRD00219,CAT005,SUP0043,Product 219,Steel,19592,23441,Discontinued
PRD00220,CAT038,SUP0186, Product 220,Laminate,45264,47493,Discontinued
PRD00221,CAT022,SUP0201,Product 221,Plywood,45213,60040,active
PRD00222,CAT019,SUP0030,Product 222,Glass,20847,35746,Active
PRD00223,CAT022,SUP0019,Product 223,Marble,41118,48114,Discontinued
PRD00224,CAT024,SUP0111,Product 224,Plywood,12854,19329,active
PRD00225,CAT002,SUP0456,Product 225,Laminate,31588,45745,active
PRD00226,CAT033,SUP0317,Product 226,Wood,10484,12885,active
PRD00227,CAT037,SUP0109,Product 227,Laminate,45169,47226,Active
PRD00228,CAT036,SUP0344,Product 228,Plywood,13017,21308,Discontinued
PRD00229,CAT040,SUP0073,Product 229,Marble,47191,48573,Discontinued
PRD00230,CAT001,SUP0431,Product 230,Laminate,26325,36113,active
