task_id,project_id,assigned_employee,task_name,start_date,end_date,task_status,completion_percentage
TASK000001,PROJ02215,EMP0286,Installation,23-10-2024,09-05-2025,completed,35
TASK000002,PROJ04701,EMP0010,Site Visit,27-08-2024,11-03-2025,Delayed,73
TASK000003,PROJ01439,EMP0296,Site Visit,17-07-2024,04-03-2025,Completed,79
TASK000004,PROJ03368,EMP0193,Material Procurement,09-04-2024,06-08-2025,Completed,79
TASK000005,PROJ04508,EMP0054,Quality Check,23-05-2024,10-02-2025,In Progress,62
TASK000006,PROJ03216,EMP0226,Handover,15-05-2024,15-10-2025,Completed,7
TASK000007,PROJ02950,EMP0142,Design Approval,16-06-2024,27-04-2025,completed,73
TASK000008,PROJ01116,EMP0299,Material Procurement,20-01-2024,02-06-2025,In Progress,84
TASK000009,PROJ04588,EMP0071,Quality Check,11-01-2024,02-04-2025,Delayed,54
TASK000010,PROJ01694,EMP0152,Handover,27-10-2024,,In Progress,100
TASK000011,PROJ02675,EMP0095,Material Procurement,06-08-2024,21-01-2025,completed,48
TASK000012,PROJ03034,EMP0059,Design Approval,24-09-2024,10-02-2025,Completed,52
TASK000013,PROJ04841,EMP0177,Installation,14-08-2024,02-03-2025,Delayed,92
TASK000014,PROJ04944,EMP0264,Quality Check,01-03-2024,,Delayed,37
TASK000015,PROJ02094,EMP0098,Handover,09-03-2024,21-07-2025,Pending,18
TASK000016,PROJ01543,EMP0278,Design Approval,19-09-2024,,Completed,94
TASK000017,PROJ02440,EMP0164,Installation,15-10-2024,15-01-2025,Completed,52
TASK000018,PROJ03415,EMP0010,Quality Check,22-05-2024,25-08-2025,Pending,50
TASK000019,PROJ02682,EMP0025,Site Visit,25-12-2024,12-07-2025,Pending,77
TASK000020,PROJ01350,EMP0288,Design Approval,14-02-2024,,Completed,74
TASK000021,PROJ04381,EMP0051,Design Approval,24-06-2024,16-01-2025,completed,44
TASK000022,PROJ01218,EMP0254,Quality Check,26-11-2024,,completed,70
TASK000023,PROJ01163,EMP0173,Material Procurement,25-09-2024,21-12-2025,Pending,37
TASK000024,PROJ00379,EMP0073,Material Procurement,20-05-2024,19-11-2025,Delayed,4
TASK000025,PROJ02167,EMP0140,Site Visit,16-08-2024,26-01-2025,Delayed,28
TASK000026,PROJ03190,EMP0262,Material Procurement,01-04-2024,06-02-2025,Delayed,25
TASK000027,PROJ00030,EMP0272,Material Procurement,28-09-2024,13-07-2025,Completed,61
TASK000028,PROJ03649,EMP0020,Quality Check,25-06-2024,,Delayed,97
TASK000029,PROJ01993,EMP0300,Handover,11-06-2024,,completed,65
TASK000030,PROJ04303,EMP0119,Handover,23-09-2024,,In Progress,79
TASK000031,PROJ03499,EMP0123,Design Approval,03-08-2024,05-02-2025,Delayed,45
TASK000032,PROJ03925,EMP0130,Material Procurement,12-07-2024,06-09-2025,In Progress,98
TASK000033,PROJ02209,EMP0046,Installation,23-04-2024,03-08-2025,Pending,97
TASK000034,PROJ04237,EMP0176,Handover,10-04-2024,10-10-2025,Completed,51
TASK000035,PROJ03731,EMP0090,Site Visit,11-04-2024,16-01-2025,completed,19
TASK000036,PROJ01785,EMP0271,Site Visit,24-07-2024,08-07-2025,Delayed,99
TASK000037,PROJ00509,EMP0017,Handover,20-10-2024,01-09-2025,Completed,85
TASK000038,PROJ02877,EMP0185,Quality Check,25-11-2024,09-06-2025,Completed,65
TASK000039,PROJ04449,EMP0102,Material Procurement,27-11-2024,,Pending,17
TASK000040,PROJ03288,EMP0023,Material Procurement,21-06-2024,17-05-2025,In Progress,38
TASK000041,PROJ00346,EMP0032,Design Approval,12-06-2024,,Pending,67
TASK000042,PROJ01132,EMP0258,Handover,26-05-2024,28-01-2025,Pending,30
TASK000043,PROJ03225,EMP0203,Handover,23-08-2024,05-03-2025,Completed,50
TASK000044,PROJ04579,EMP0092,Handover,16-09-2024,21-01-2025,Pending,31
TASK000045,PROJ02702,EMP0195,Handover,01-07-2024,24-10-2025,completed,92
TASK000046,PROJ01949,EMP0243,Material Procurement,18-05-2024,04-01-2025,Pending,5
TASK000047,PROJ01254,EMP0229,Installation,02-03-2024,,Delayed,10
TASK000048,PROJ01456,EMP0291,Installation,10-06-2024,27-11-2025,completed,54
TASK000049,PROJ02945,EMP0012,Material Procurement,20-09-2024,02-03-2025,completed,90
TASK000050,PROJ02487,EMP0291,Installation,20-06-2024,09-03-2025,In Progress,4
TASK000051,PROJ03941,EMP0246,Handover,26-04-2024,18-09-2025,Delayed,43
TASK000052,PROJ03644,EMP0184,Handover,08-12-2024,25-07-2025,In Progress,43
TASK000053,PROJ00226,EMP0142,Installation,12-10-2024,,Completed,18
TASK000054,PROJ02828,EMP0031,Quality Check,05-10-2024,23-05-2025,Pending,75
TASK000055,PROJ02973,EMP0014,Installation,19-03-2024,19-02-2025,Pending,95
TASK000056,PROJ02779,EMP0284,Material Procurement,25-02-2024,14-04-2025,completed,53
TASK000057,PROJ02333,EMP0255,Handover,28-08-2024,19-09-2025,Completed,63
TASK000058,PROJ03199,EMP0269,Handover,14-08-2024,22-01-2025,Pending,27
TASK000059,PROJ01022,EMP0075,Material Procurement,22-09-2024,,Completed,84
TASK000060,PROJ00404,EMP0040,Quality Check,13-12-2024,,In Progress,73
TASK000061,PROJ00767,EMP0017,Site Visit,27-12-2024,22-09-2025,In Progress,21
TASK000062,PROJ01857,EMP0006,Installation,20-12-2024,18-10-2025,completed,63
TASK000063,PROJ04830,EMP0158,Quality Check,19-11-2024,11-05-2025,In Progress,46
TASK000064,PROJ04562,EMP0056,Design Approval,05-12-2024,27-04-2025,completed,67
TASK000065,PROJ04259,EMP0084,Site Visit,25-04-2024,23-06-2025,Pending,76
TASK000066,PROJ01084,EMP0043,Site Visit,12-09-2024,06-02-2025,In Progress,95
TASK000067,PROJ02254,EMP0162,Installation,03-05-2024,11-12-2025,completed,77
TASK000068,PROJ04709,EMP0002,Site Visit,17-12-2024,14-10-2025,In Progress,71
TASK000069,PROJ01649,EMP0079,Design Approval,13-11-2024,27-10-2025,completed,88
