project_id,customer_id,designer_id,city_id,project_type,start_date,completion_date,project_status,project_budget
PROJ00001,CUS003930,DES047,C067,Villa,2024-08-10,2025-02-27,Completed,3219005
PROJ00002,CUS001515,DES139,C148,Kitchen,2024-06-06,2025-05-10,Installation,726288
PROJ00003,CUS002127,DES123,C059,Office,2024-11-15,2025-10-21,Installation,3892900
PROJ00004,CUS003059,DES093,C074,3BHK,2024-10-26,2025-01-26,Design Phase,2070675
PROJ00005,CUS002764,DES064,C078,3BHK,2024-05-26,2025-01-18,Delayed,3676050
PROJ00006,CUS003331,DES122,C142,3BHK,2024-11-18,2025-10-08,Planning,3053849
PROJ00007,CUS002169,DES072,C044,Kitchen,2024-01-23,2025-05-01,Installation,4516302
PROJ00008,CUS002588,DES038,C154,Villa,2024-11-20,,Planning,4419848
PROJ00009,CUS003343,DES107,C040,Villa,2024-02-12,2025-05-23,Planning,2782295
PROJ00010,CUS004608,DES138,C008,Villa,2024-03-05,2025-03-27,completed,4422724
PROJ00011,CUS002467,DES005,C201,Office,2024-12-02,2025-10-21,Planning,4487044
PROJ00012,CUS000783,DES086,C205,Office,2024-07-19,2025-05-20,Design Phase,4060780
PROJ00013,CUS000003,DES123,C091,2BHK,2024-04-10,2025-07-14,completed,2958740
PROJ00014,CUS004297,DES122,C240,Villa,2024-02-03,,Design Phase,4995293
PROJ00015,CUS001832,DES101,C179,3BHK,2024-04-12,2025-02-07,completed,2372086
PROJ00016,CUS004555,DES134,C171,Office,2024-02-13,2025-11-18,completed,510383
PROJ00017,CUS000414,DES052,C056,Kitchen,2024-12-19,2025-12-18,Delayed,3148823
PROJ00018,CUS000505,DES028,C108,2BHK,2024-10-08,2025-07-09,Completed,734403
PROJ00019,CUS003064,DES058,C158,Kitchen,2024-10-02,,Completed,3853282
PROJ00020,CUS004858,DES023,C089,3BHK,2024-01-17,2025-03-16,Planning,1096488
PROJ00021,CUS002210,DES081,C018,Kitchen,2024-01-21,2025-02-20,Delayed,1610128
PROJ00022,CUS003116,DES092,C133,2BHK,2024-05-04,,Completed,1750335
PROJ00023,CUS001783,DES117,C177,Office,2024-04-28,2025-07-16,Completed,4575632
PROJ00024,CUS003411,DES134,C104,Villa,2024-06-13,2025-03-26,Completed,387395
PROJ00025,CUS002680,DES126,C058,2BHK,2024-04-08,2025-07-20,Installation,1389749
PROJ00026,CUS004118,DES008,C010,Villa,2024-01-16,2025-03-12,Design Phase,660913
PROJ00027,CUS003547,DES018,C030,3BHK,2024-05-27,,completed,2396802
PROJ00028,CUS002162,DES102,C212,2BHK,2024-05-23,2025-05-26,Installation,4701691
PROJ00029,CUS003256,DES044,C109,3BHK,2024-05-07,2025-02-19,Installation,3172417
PROJ00030,CUS003968,DES116,C099,Kitchen,13/06/2024,2025-07-19,completed,4103704
PROJ00031,CUS003966,DES027,C189,Kitchen,2024-07-07,2025-03-08,Completed,2068415
PROJ00032,CUS001489,DES075,C156,Kitchen,2024-01-01,2025-03-28,completed,701289
PROJ00033,CUS001996,DES101,C041,Kitchen,2024-02-22,2025-04-27,completed,1811264
PROJ00034,CUS003882,DES096,C120,Villa,2024-05-09,2025-04-12,Completed,1657984
PROJ00035,CUS003217,DES071,C174,Office,2024-11-10,2025-01-09,completed,1498942
PROJ00036,CUS004806,DES046,C001,Kitchen,2024-11-20,2025-11-22,Installation,4210505
PROJ00037,CUS000562,DES113,C211,Office,2024-06-24,2025-04-16,Delayed,1030213
PROJ00038,CUS000656,DES024,C217,Kitchen,2024-12-24,,Completed,3857649
PROJ00039,CUS000146,DES117,C172,Kitchen,2024-06-11,2025-06-27,Design Phase,1671803
PROJ00040,CUS004816,DES025,C160,Villa,2024-07-14,2025-01-10,Delayed,2350709
PROJ00041,CUS001372,DES067,C222,3BHK,2024-12-03,2025-01-15,Delayed,2865498
PROJ00042,CUS003884,DES126,C050,Office,2024-07-09,2025-07-07,Delayed,4489021
PROJ00043,CUS000378,DES103,C035,Kitchen,2024-01-10,2025-04-18,Delayed,2014979
PROJ00044,CUS004397,DES106,C031,Office,2024-04-16,2025-06-18,Delayed,4234061
PROJ00045,CUS001730,DES078,C090,2BHK,2024-01-11,2025-07-20,Planning,4187172
PROJ00046,CUS004385,DES090,C192,Office,2024-09-10,,Planning,2973974
PROJ00047,CUS000878,DES094,C144,2BHK,2024-10-04,2025-02-25,Design Phase,213316
PROJ00048,CUS000472,DES091,C169,Office,2024-09-04,2025-03-15,Design Phase,2956891
PROJ00049,CUS004603,DES105,C144,Office,2024-06-08,,Planning,1633927
PROJ00050,CUS002172,DES093,C049,3BHK,2024-02-13,2025-07-08,Design Phase,2098380
PROJ00051,CUS004639,DES145,C158,Kitchen,2024-08-10,2025-12-15,Completed,3874110
PROJ00052,CUS004863,DES018,C214,Villa,2024-09-07,2025-05-22,Delayed,3764109
PROJ00053,CUS000722,DES048,C175,Kitchen,2024-01-26,2025-10-07,Completed,1138235
PROJ00054,CUS002798,DES098,C086,Office,2024-01-09,2025-06-19,Installation,1773881
PROJ00055,CUS000343,DES083,C017,Office,2024-12-22,,Planning,2539428
