supplier_id,supplier_name,supplier_category,contact_person,email,phone,city_id,supplier_rating,status
SUP0001,Supplier 1,Kitchen,Pooja,supplier1@vendor.com,9997229771,C111,4.5,active
SUP0002,Supplier 2,Flooring,Ravi,supplier2@vendor.com,9439537415,C024,3.5,Active
SUP0003,Supplier 3,Plumbing,Pooja,supplier3@vendor.com,9255244245,C176,3.4,active
SUP0004,Supplier 4,Kitchen,Neha,supplier4@vendor.com,9175073215,C125,3.1,active
SUP0005,Supplier 5,Plumbing,Amit,supplier5@vendor.com,9535378958,C231,3.8,Active
SUP0006,Supplier 6,Wardrobe,Amit,supplier6@vendor.com,9484917454,C009,3.7,Active
SUP0007,Supplier 7,Lighting,Neha,supplier7@vendor.com,9335347357,C042,3.2,active
SUP0008,Supplier 8,Paint,Neha,supplier8@vendor.com,9395748710,C201,3.4,active
SUP0009,Supplier 9,Wardrobe,Pooja,supplier9@vendor.com,9997682891,C177,4,active
SUP0010,Supplier 10,Plumbing,Amit,supplier10@vendor.com,9651061142,C123,4.8,Inactive
SUP0011,Supplier 11,Kitchen,Neha,supplier11@vendor.com,9927301181,C092,4.6,Inactive
SUP0012,Supplier 12,Lighting,Neha,supplier12@vendor.com,9512467129,C199,3.6,Active
SUP0013,Supplier 13,Paint,Pooja,supplier13@vendor.com,9645710455,C019,4,Active
SUP0014,Supplier 14,Decor,Amit,supplier14@vendor.com,9144273710,C109,3.2,Inactive
SUP0015,Supplier 15,Flooring,Amit,supplier15@vendor.com,9891743695,C119,4.8,active
SUP0016,Supplier 16,Paint,Neha,supplier16@vendor.com,9398683057,C154,4.2,Inactive
SUP0017,Supplier 17,Wardrobe,Amit,supplier17@vendor.com,9852634645,C171,3.4,active
SUP0018,Supplier 18,Plumbing,Pooja,supplier18@vendor.com,9918014041,C143,3.4,Inactive
SUP0019,Supplier 19,Hardware,Amit,supplier19@vendor.com,9359513820,C033,5,Active
SUP0020,Supplier 20,Flooring,Neha,supplier20@vendor.com,9169554810,C005,3.5,Inactive
SUP0021,Supplier 21,Plumbing,Ravi,supplier21@vendor.com,9738270683,C247,4.8,Active
SUP0022,Supplier 22,Electrical,Pooja,supplier22@vendor.com,9271288319,C218,4.3,Inactive
SUP0023,Supplier 23,Lighting,Amit,supplier23@vendor.com,9602916601,C244,4.3,active
SUP0024,Supplier 24,Wardrobe,Neha,supplier24@vendor.com,9418332798,C074,4.3,active
SUP0025,Supplier 25,Decor,Neha,supplier25@vendor.com,9309314762,C003,null,active
SUP0026,Supplier 26,Decor,Neha,supplier26@vendor.com,9482744279,C140,4.4,Active
SUP0027,Supplier 27,Furniture,Pooja,supplier27@vendor.com,9855382224,C182,4.6,active
SUP0028,Supplier 28,Electrical,Neha,supplier28@vendor.com,9261010261,C027,4.3,Inactive
SUP0029,Supplier 29,Lighting,Neha,supplier29@vendor.com,9691468532,C218,4.9,active
SUP0030,Supplier 30,Hardware,Amit,supplier30@vendor.com,9913481008,C176,3.9,Inactive
SUP0031,Supplier 31,Wardrobe,Amit,supplier31@vendor.com,9166670041,C243,4.6,Inactive
SUP0032,Supplier 32,Kitchen,Pooja,supplier32@vendor.com,9474208324,C175,3.1,active
SUP0033,Supplier 33,Flooring,Ravi,supplier33@vendor.com,9464589377,C120,5,Inactive
SUP0034,Supplier 34,Plumbing,Ravi,supplier34@vendor.com,9922593738,C039,3.7,active
SUP0035,Supplier 35,Kitchen,Ravi,supplier35@vendor.com,9419845922,C245,4.7,active
SUP0036,Supplier 36,Kitchen,Pooja,supplier36@vendor.com,9648152050,C148,4.8,Inactive
SUP0037,Supplier 37,Electrical,Ravi,,9740386496,C153,3,Active
SUP0038,Supplier 38,Hardware,Pooja,supplier38@vendor.com,9183746955,C024,4.6,Inactive
SUP0039,Supplier 39,Furniture,Neha,supplier39@vendor.com,9466199306,C001,3.7,Inactive
SUP0040, Supplier 40,Lighting,Ravi,supplier40@vendor.com,9104651644,C109,3.3,Active
SUP0041,Supplier 41,Decor,Ravi,supplier41@vendor.com,9377674329,C145,3.1,active
